truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
-5.569274772757667469e-01,4.927357658743858337e-02,-8.538340140933217137e-01,4.597061539694022940e+02,-1.567642901568587988e+00,-1.400251266180553289e-01
-5.604275448697740858e-01,6.274563074111938477e-02,-7.690522163410160594e-01,4.345135961385768724e+02,-1.463026659856989653e+00,-7.507777282504235483e-02
-5.695763549597041564e-01,5.635054782032966614e-02,-4.278385505691588153e-01,5.130232620933671797e+02,-1.181906220397463070e+00,3.262291192591453837e-01
-5.649110827443992733e-01,5.115612596273422241e-02,-5.327175937597634914e-02,4.491044124394259711e+02,-7.588017073240527210e-01,6.522581885720999395e-01
-5.590866757929813247e-01,4.412145167589187622e-02,-3.448169261795969720e-01,4.911138132000684209e+02,-1.082607100062278116e+00,3.929732477030842275e-01
-5.622069371857795206e-01,3.446923196315765381e-02,-1.471006939421014015e-01,5.102310902530097678e+02,-8.991135259947398151e-01,6.049121381105371231e-01
-5.725644153760185429e-01,3.584069013595581055e-02,-5.535709787738682941e-01,4.314315338602804104e+02,-1.245079816137252937e+00,1.379378585895163489e-01
-5.657343820518778710e-01,7.827752828598022461e-02,-4.363294384534703307e-01,4.733133128057148724e+02,-1.160625547493298493e+00,2.879666705863578868e-01
-5.693869613627127180e-01,5.017716810107231140e-02,1.423579238270902270e-01,4.626688916173739017e+02,-5.737474653849594652e-01,8.584633130391399192e-01
-5.603761905833735124e-01,4.494712129235267639e-02,4.981748777229002417e-02,5.321374410276117715e+02,-7.181692150564604749e-01,8.178041906010404816e-01
-5.629101682081627533e-01,1.809149794280529022e-02,-4.477487594908693413e-01,4.316922142869134404e+02,-1.139466477734685235e+00,2.439689587529466630e-01
-5.660917643508779351e-01,2.450523199513554573e-03,-4.517049694998410692e-01,5.067591746495440361e+02,-1.201154863029889608e+00,2.977449240302073585e-01
-5.704595264554231937e-01,2.789638563990592957e-02,-4.360735253353650864e-01,4.570727223150916529e+02,-1.147834945414452745e+00,2.756878947437226279e-01
-5.692668656763184565e-01,-1.430562790483236313e-02,-8.338903598131682804e-01,4.729533143936419606e+02,-1.557910969473228935e+00,-1.098697501531076259e-01
-5.679358179987847866e-01,6.955557316541671753e-02,-7.368483947461956785e-01,4.540396255758201391e+02,-1.446244289010206518e+00,-2.745250048218494943e-02
-5.690549455291135095e-01,5.969699099659919739e-02,2.416980213591913285e-01,5.304901923429154067e+02,-5.250990962992674316e-01,1.008495139017649977e+00
-5.625401461365585609e-01,2.301846630871295929e-02,-2.334970631801595309e-01,4.321480304326990449e+02,-9.255798713061769156e-01,4.585857449458579094e-01
-5.734249676263708517e-01,-5.720760207623243332e-03,-5.558198383633521367e-01,4.657221444851600154e+02,-1.274284209895073072e+00,1.626445331683686879e-01
-5.697466760467023716e-01,1.202819496393203735e-02,-4.240615349985090710e-01,5.038994028187295271e+02,-1.171393767814375542e+00,3.232706978173573997e-01
-5.704803939782877586e-01,2.775149978697299957e-02,-8.078787874006405634e-01,5.315534637605059061e+02,-1.575443973292934619e+00,-4.031360150834661926e-02
-5.681135552956404489e-01,4.530262202024459839e-02,-5.330432496532286901e-01,4.724335022209521640e+02,-1.256665872680879481e+00,1.905793733744222118e-01
-5.711804343265990402e-01,7.874865829944610596e-02,-6.412339712274649217e-02,4.294841039577934225e+02,-7.540697755647897127e-01,6.258229813192967006e-01
-5.736921056744535008e-01,4.291255027055740356e-02,-3.984346126029345569e-01,4.807750006551001434e+02,-1.128417586445086940e+00,3.315483612392178259e-01
-5.637271628473949914e-01,4.655482247471809387e-02,-5.902222134994810077e-01,4.999545407257106717e+02,-1.334623389792973125e+00,1.541789627940112206e-01
-5.672996990703782494e-01,-1.729686930775642395e-02,-4.385100603733073088e-01,4.787952293594138382e+02,-1.166988494467490201e+00,2.899683737208755829e-01
-5.657708927512742347e-01,3.816219512373209000e-03,-2.004438764657177630e-01,4.233338385725305670e+02,-8.854323829167833892e-01,4.845446299853478078e-01
-5.647574153726201418e-01,1.967073604464530945e-02,-7.226211118795639043e-01,4.670025298961745079e+02,-1.442072423706287410e+00,-3.169800052840510141e-03
-5.660117009967782220e-01,-5.699492245912551880e-02,-9.433581811087128344e-01,4.478806602096539677e+02,-1.647926233798960194e+00,-2.387901284184654749e-01
-5.653886430636180238e-01,6.269185990095138550e-02,-8.944150673901846149e-01,4.470433121932451854e+02,-1.598324189342826607e+00,-1.905059454375427341e-01
-5.645338759197499057e-01,2.972790226340293884e-02,-3.369856490466415222e-01,5.097844512196134588e+02,-1.088669265742613135e+00,4.146979676493300904e-01
