truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
-5.999999999999998668e-01,-9.449046105146408081e-02,-1.110929253137090233e+00,6.297470092151418157e+02,-1.946387689784610853e+00,-2.754708164895697253e-01
-5.999999999999998668e-01,-8.719142526388168335e-02,-6.530566470309852045e-01,5.713308576321147711e+02,-1.448823110922674573e+00,1.427098168607040529e-01
-5.999999999999998668e-01,-3.811002895236015320e-02,-3.155222133273720697e-01,6.444003578777312669e+02,-1.160644741348970221e+00,5.296003146942260820e-01
-5.999999999999998668e-01,-2.196442894637584686e-02,-1.023825832563481919e-01,6.648508787838388798e+02,-9.608106639625595413e-01,7.560454974498631575e-01
-5.999999999999998668e-01,-2.222470007836818695e-03,-3.630199455528320129e-01,6.102235087781004950e+02,-1.185425925516827572e+00,4.593860344111635463e-01
-5.999999999999998668e-01,-1.537530124187469482e-02,-6.352140765620499785e-01,7.171712626024658448e+02,-1.526779529159195459e+00,2.563513760350953907e-01
-5.999999999999998668e-01,-2.537698112428188324e-02,-5.773312761603499599e-01,6.715602157476168941e+02,-1.440079893884478546e+00,2.854173415637786260e-01
-5.999999999999998668e-01,-2.446697093546390533e-02,-6.526820608837915483e-01,5.853677759198578769e+02,-1.458164724866956696e+00,1.528006030993737108e-01
-5.999999999999998668e-01,2.173042669892311096e-02,-5.560562369682778838e-01,5.498206827007909396e+02,-1.336698983128843832e+00,2.245865091922880641e-01
-5.999999999999998668e-01,1.067561060190200806e-01,-6.484790506817880674e-04,6.445797523003914193e+02,-8.458886355899571940e-01,8.445916774885936507e-01
-5.999999999999998668e-01,-2.165100909769535065e-02,-6.036345105197316041e-01,6.350795147930464282e+02,-1.442622694311098908e+00,2.353536732716356994e-01
-5.999999999999998668e-01,-9.476375579833984375e-02,-6.701678425222317159e-01,6.391987615616321818e+02,-1.511872547094178287e+00,1.715368620497147445e-01
-5.999999999999998668e-01,-2.524844929575920105e-02,-6.893114121173742337e-01,4.719465790782509202e+02,-1.412561030864319722e+00,3.393820662957136580e-02
-5.999999999999998668e-01,-1.421730667352676392e-01,-7.707455914605123581e-01,6.958246527490626931e+02,-1.648942083412547444e+00,1.074509004915226162e-01
-5.999999999999998668e-01,2.836189419031143188e-02,-7.153378045496752158e-01,6.457452336373863773e+02,-1.561341766285187616e+00,1.306661571858371840e-01
-5.999999999999998668e-01,-4.779884964227676392e-02,1.260138628642786529e-01,6.601466220204688398e+02,-7.293718552879262518e-01,9.813995810164835021e-01
-5.999999999999998668e-01,-5.508250370621681213e-02,-5.412169238114298286e-01,6.878880476324735582e+02,-1.414390679328611400e+00,3.319568317057517426e-01
