truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,5.000000000000000000e+02,9.963697386759882146e-01,9.038643736569300646e-01,2.155173913114647899e+00,7.751840246939183388e-01,1.032544722619941790e+00,9.630970406965789765e-01,1.343044334084337876e+00,8.615151612709807116e-01,1.064678920122177352e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.805015400047341068e-01,9.456194977408662883e-01,1.621198292494448578e+00,8.340130878850997576e-01,1.057225907596632819e+00,9.437254375798258543e-01,1.510641229760064430e+00,8.359916977556995921e-01,1.051459177403952117e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.011643771774936695e+00,9.861934408773561644e-01,1.452591247508019601e+00,8.805499409691572854e-01,1.091836940785555043e+00,9.661713669380871394e-01,9.669598583826531923e-01,8.799777129725798730e-01,1.052365020903594406e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.014541784225738930e+00,9.303686894098088800e-01,3.047042432096884301e+00,7.773620346058861541e-01,1.083375344213731717e+00,9.887475559347164156e-01,9.831803704976594949e-01,9.018339699851790625e-01,1.075661141884253880e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.960677885080406746e-01,1.004318996307620671e+00,2.404297018382115070e+00,8.684047040067980339e-01,1.140233288608443418e+00,9.871873844498395556e-01,1.145879101798238375e+00,8.933576540072115657e-01,1.081017114892467434e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.008686419997123496e+00,9.709431539163305702e-01,1.990068676779014334e+00,8.472900275610760756e-01,1.094596280271584954e+00,9.716454000906210586e-01,1.108613819291048408e+00,8.793540045199775834e-01,1.063936795661264423e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.015857469293065529e+00,1.004302136453477434e+00,1.564769260027627951e+00,8.946552706585798598e-01,1.113949002248374898e+00,1.015502540477521753e+00,1.137505327983093117e+00,9.220162797973571189e-01,1.108988801157686499e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.009015262479947328e+00,9.410656227128350038e-01,4.095217823621947417e+00,7.636836124004807713e-01,1.118447633025189347e+00,9.857403066757517429e-01,1.144817031311039957e+00,8.919540698658179334e-01,1.079526543485685552e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.911566914470613110e-01,1.059160833319425343e+00,3.119106698575942360e+00,9.043554051636314428e-01,1.213966261475219355e+00,1.003502108736797016e+00,1.289014603815691551e+00,9.039844871613357258e-01,1.103019730312258417e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.005281715575606860e+00,9.906436923285329987e-01,2.110932519032209687e+00,8.632909666795376413e-01,1.117996417977528356e+00,9.802328188789373176e-01,1.023680227085559613e+00,8.915471947860564850e-01,1.068918442971818150e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.041243550277547891e+00,9.621707973298262440e-01,1.568502968469111414e+00,8.523931948448845164e-01,1.071948399814767861e+00,1.002971469714889707e+00,1.027150204452754734e+00,9.141356635844143375e-01,1.091807275845364966e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.737282655835806100e-01,1.138241451695232165e+00,8.330264340990909844e+00,8.852531377661074785e-01,1.391229765624356851e+00,1.002111787059160708e+00,1.113461811882648922e+00,9.096188154718192198e-01,1.094604758646502196e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.864914588957922614e-01,8.671704780520295142e-01,2.059346934496725012e+00,7.413834581846153737e-01,9.929574979194436546e-01,9.680289583118293351e-01,1.303447695105133697e+00,8.679557384624022598e-01,1.068102178161256299e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.008756379777320911e+00,1.102833800761903849e+00,2.171206513814629702e+00,9.736757042795672890e-01,1.231991897244240519e+00,1.052338260895593125e+00,1.189974921107983308e+00,9.567201908781698405e-01,1.147956330913016298e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.026056025905093039e+00,1.106382026715529543e+00,1.789051413813474545e+00,9.891402260529174040e-01,1.223623827378141682e+00,1.032034000542355390e+00,1.207472076330411870e+00,9.357155212309490322e-01,1.128352479853761858e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.750954683573604953e-01,9.747571382547297603e-01,3.430114175124173492e+00,8.124172071523849681e-01,1.137097069357074552e+00,9.300871344976128219e-01,1.104647497066916673e+00,8.379609837614372392e-01,1.022213285233788405e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.582128497315646198e-01,8.877782621723433465e-01,5.888696850210072498e+00,6.750718080165419854e-01,1.100484716328144597e+00,9.905851416126172371e-01,1.016526879077781720e+00,9.022099227029567459e-01,1.078960360522277728e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.891490847581728696e-01,8.485095244016933602e-01,3.920812895993490255e+00,6.749457331245459768e-01,1.022073315678840633e+00,9.565024291174429871e-01,1.043891057113465637e+00,8.669456104489899895e-01,1.046059247785896096e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.794884091402554782e-01,9.995462908960559556e-01,2.168862554779209084e+00,8.704579305343269624e-01,1.128634651257784949e+00,1.002992298837798613e+00,9.982361046846957020e-01,9.154157743605537689e-01,1.090568823315043456e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.035450001645233264e+00,9.956378067384955566e-01,3.428985354021687471e+00,8.333245901724394278e-01,1.157951023304551574e+00,1.000656740492330554e+00,1.153302866448572273e+00,9.065235551457287988e-01,1.094789925838932199e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.777040243513375195e-01,9.421841970078773665e-01,3.078022044954364489e+00,7.884016915796155933e-01,1.095966702436139251e+00,9.580202181938413108e-01,1.253387483270351987e+00,8.598875186922849689e-01,1.056152917695397653e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.845831831161215852e-01,9.516812459179538886e-01,3.794131567905512092e+00,7.809443967537162967e-01,1.122418095082191591e+00,9.511230690271069710e-01,1.205803717119588336e+00,8.548711541403203329e-01,1.047374983913893720e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.031653549102172773e+00,9.918476564669984619e-01,7.270316443927573147e+00,7.555019450568178918e-01,1.228193367877179032e+00,1.046315016962229283e+00,1.055916903610660373e+00,9.562438187142797696e-01,1.136386215210178907e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.701936792236992568e-01,9.623026097723833550e-01,1.848255163090937181e+00,8.431366999279136243e-01,1.081468519616853197e+00,9.256096884638402855e-01,1.114758550199661080e+00,8.330628738622882778e-01,1.018156503065392293e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.748231113637302325e-01,9.115869011720090231e-01,1.066627911140685336e+00,8.210600235782462564e-01,1.002113778765771901e+00,9.373542164570808355e-01,1.236050304448335746e+00,8.399025787123129971e-01,1.034805854201848563e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.051173201573794014e+00,1.108297497182907376e+00,1.317870592912423700e+00,1.007672135869445595e+00,1.208922858496369157e+00,1.110862327629562163e+00,1.199953279538105821e+00,1.014844198938428033e+00,1.206880456320696293e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.002378450828204759e+00,1.029026796162434421e+00,1.909691666301583712e+00,9.078965232719289347e-01,1.150157069052939907e+00,1.003608730294053952e+00,1.159084911491141234e+00,9.092398731855314553e-01,1.097977587402576338e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.019118713440608115e+00,9.171720193550797484e-01,6.243231462065307547e+00,6.981560474047669995e-01,1.136187991305392497e+00,1.007924333305574960e+00,1.004827129783008255e+00,9.200591649875844436e-01,1.095789501623565476e+00
