truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.000000000000000000e+03,9.747332375980546360e-01,9.027907644796393516e-01,1.643106141410768384e+00,8.233416829692555838e-01,9.822398459900231193e-01,9.380325607092597773e-01,8.298140797984424610e-01,8.815718330398991665e-01,9.944932883786203881e-01
1.000000000000000000e+00,1.000000000000000000e+03,9.812787650550538476e-01,9.673283053753878313e-01,1.313776589610355261e+00,8.962860352353708704e-01,1.038370575515404681e+00,9.788066570859386140e-01,8.376636122863632128e-01,9.220795160248971278e-01,1.035533798146980100e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.020295554403612748e+00,1.018245023895004042e+00,1.052870281187286539e+00,9.546470170692467061e-01,1.081843030720761378e+00,1.049238171226287264e+00,7.981152456129969597e-01,9.938663414972013221e-01,1.104610000955373206e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.038273688880597678e+00,9.868090629467660690e-01,1.940411549992001383e+00,9.004708616077916616e-01,1.073147264285740476e+00,1.045291334494319324e+00,7.808716563976400016e-01,9.905209359635693822e-01,1.100061733025069266e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.857592101468776180e-01,9.700763449867542132e-01,1.218567327426751445e+00,9.016566968946848615e-01,1.038495993078823565e+00,9.876917991662989005e-01,7.502527535166412243e-01,9.340059446242546803e-01,1.041377653708343010e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.016807683620535530e+00,9.605404485798092473e-01,1.572298172175919717e+00,8.828221067406332168e-01,1.038258790418985278e+00,9.643640868006095879e-01,7.215208789056144489e-01,9.117162510577815349e-01,1.017011922543437752e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.021534175566300107e+00,9.797280608257452617e-01,1.270427804165561669e+00,9.098676610810942922e-01,1.049588460570396231e+00,1.004952740864089922e+00,8.504843539059886437e-01,9.477931336754007452e-01,1.062112348052778987e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.684091566523284067e-01,9.449848430141667421e-01,1.391488657660643335e+00,8.718716237766778177e-01,1.018098062251655778e+00,9.699032210425202472e-01,8.590477282945334636e-01,9.124565696778299539e-01,1.027349872407210540e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.012411243951640394e+00,1.002668731006939762e+00,9.063672872017358717e-01,9.436610995469820740e-01,1.061676362466897450e+00,9.754813290416808336e-01,7.679415361061608936e-01,9.211662831970400811e-01,1.029796374886321697e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.864419001444748591e-01,9.061283506187555181e-01,1.705184092104729210e+00,8.251923561031536680e-01,9.870643451343573682e-01,9.435661682218100532e-01,7.683904198869316859e-01,8.892352503477520820e-01,9.978970860958680245e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.016234115650747949e+00,1.024359525406564275e+00,1.018536266826051806e+00,9.618070760329469060e-01,1.086911974780181644e+00,1.032988421524414724e+00,7.777702012594863712e-01,9.783268993615765741e-01,1.087649943687252874e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.016860747932762488e+00,9.750400761459485643e-01,9.603368381646923968e-01,9.143010442348826761e-01,1.035779108057014453e+00,1.001572620001399905e+00,7.767287258736140787e-01,9.469477074310710396e-01,1.056197532571728770e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.013070681919864491e+00,1.036463661004147996e+00,1.371323816487167280e+00,9.638821373675012794e-01,1.109045184640794712e+00,1.027562586982897930e+00,7.520828268799589766e-01,9.738112950194293127e-01,1.081313878946366547e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.955598496208306614e-01,9.822854797956039885e-01,1.426078529770242076e+00,9.082691080933558148e-01,1.056301851497852162e+00,9.765226854551599667e-01,7.492533036075266217e-01,9.228726016608295168e-01,1.030172769249490416e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.026644400703245141e+00,1.003795519237536960e+00,2.141648931375260911e+00,9.130907314103708927e-01,1.094500307064703026e+00,1.033059838280395271e+00,8.246569674308420472e-01,9.767748295650870993e-01,1.089344846995703442e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.765495280998163219e-01,9.066068377751121954e-01,1.470475865975290564e+00,8.314471405515956315e-01,9.817665349986287593e-01,9.652546240182623416e-01,7.954479578124794559e-01,9.099753975879619761e-01,1.020533850448562818e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.013421494349214136e+00,1.010189826368472543e+00,1.566441481394033719e+00,9.326163670223577284e-01,1.087763285714587358e+00,1.054232962148427433e+00,7.759734144658396726e-01,9.996346153876328744e-01,1.108831308909222102e+00
