truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.089969999999999999e+02,1.096714332885742209e+02,1.095341007375512845e+02,2.879771970424881200e+00,1.062080021218177990e+02,1.128601993532847700e+02,1.080787169922973305e+02,1.884631557449726769e+00,1.053879920730425113e+02,1.107694419115521498e+02
1.089969999999999999e+02,1.075896635551452647e+02,1.070665409563014805e+02,2.151317708841381737e+00,1.041917362481021456e+02,1.099413456645008154e+02,1.071296086442828539e+02,2.179587256868980916e+00,1.042359772914689131e+02,1.100232399970967947e+02
1.089969999999999999e+02,1.096221137046813965e+02,1.095715133248467907e+02,5.060168459447981881e+00,1.051625289572383792e+02,1.139804976924552022e+02,1.071248047687241893e+02,1.051330995577826677e+01,1.007696547684395512e+02,1.134799547690088275e+02
1.089969999999999999e+02,1.089884302558898952e+02,1.080432357284550449e+02,1.623071181479969205e+00,1.055461994350116726e+02,1.105402720218984172e+02,1.081940966614530311e+02,1.611991067887890150e+00,1.057055981409796743e+02,1.106825951819263878e+02
1.089969999999999999e+02,1.065949026870727607e+02,1.075789549717224958e+02,4.124199284611154148e+00,1.035985625323062322e+02,1.115593474111387593e+02,1.064355696360250647e+02,1.624416089425420928e+00,1.039374990106950492e+02,1.089336402613550803e+02
1.089969999999999999e+02,1.094027368431091247e+02,1.105538081572875200e+02,4.528216308896102937e+00,1.063830053841687402e+02,1.147246109304062998e+02,1.074989173838790748e+02,2.752937434599841193e+00,1.042468896397233209e+02,1.107509451280348287e+02
1.089969999999999999e+02,1.103986550102233934e+02,1.097682034694912119e+02,2.606361615258338649e+00,1.066039343941475153e+02,1.129324725448349085e+02,1.108459065168728443e+02,3.025702730554330255e+00,1.074365752613774987e+02,1.142552377723681900e+02
1.089969999999999999e+02,1.079832189407348579e+02,1.111778902920000860e+02,1.171476415765640589e+01,1.044694301118952069e+02,1.178863504721049651e+02,1.077842801226961456e+02,1.692198439688521683e+00,1.052346233760128911e+02,1.103339368693794000e+02
1.089969999999999999e+02,1.100702195930480940e+02,1.098909931328584548e+02,2.414226013128127235e+00,1.068455882908000092e+02,1.129363979749169005e+02,1.094201627011032230e+02,1.685015976149084604e+00,1.068759226625112859e+02,1.119644027396951600e+02
1.089969999999999999e+02,1.096228577919006284e+02,1.143212682178854323e+02,2.613726968194920985e+01,1.043008423182454294e+02,1.243416941175254351e+02,1.097583432750247567e+02,2.759902092819805919e+00,1.065022044758061810e+02,1.130144820742433325e+02
