truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.089969999999999999e+02,1.101682308588028008e+02,1.090462186477610942e+02,9.518257327962567071e-01,1.071340121382255575e+02,1.109584251572966309e+02,1.097167890263932861e+02,1.222962298726262942e+00,1.075492715600768463e+02,1.118843064927097259e+02
1.089969999999999999e+02,1.110832642440795865e+02,1.091184528612308497e+02,1.695079218428139356e+00,1.065666267845725059e+02,1.116702789378891936e+02,1.089900792086948229e+02,1.143015878460696300e+00,1.068946055632641219e+02,1.110855528541255239e+02
1.089969999999999999e+02,1.079288620758056680e+02,1.075051457980349028e+02,9.950220177597771665e-01,1.055500303069638619e+02,1.094602612891059437e+02,1.071441990206187711e+02,9.407941140123690094e-01,1.052431060012244188e+02,1.090452920400131234e+02
1.089969999999999999e+02,1.093112708854675361e+02,1.116077305432572331e+02,7.919519150821784592e+00,1.060919690573156089e+02,1.171234920291988573e+02,1.090082740547943985e+02,8.561161712875675622e-01,1.071947537533865784e+02,1.108217943562022185e+02
1.089969999999999999e+02,1.101821134986877411e+02,1.117503867162138675e+02,7.861975279590275534e+00,1.062547007504700076e+02,1.172460726819577275e+02,1.100515670926088774e+02,1.069140720989834925e+00,1.080249415737340826e+02,1.120781926114836722e+02
1.089969999999999999e+02,1.105011886405944779e+02,1.097121717153319906e+02,7.137526721649457562e-01,1.080562875812849057e+02,1.113680558493790755e+02,1.099121948159223763e+02,7.768928674908046617e-01,1.081846208986173394e+02,1.116397687332274131e+02
1.089969999999999999e+02,1.106846516017913871e+02,1.107733562776511036e+02,1.720658990566273694e+00,1.082023479971978048e+02,1.133443645581044024e+02,1.102767883305389347e+02,1.041689266241434764e+00,1.082763500072724838e+02,1.122772266538053856e+02
1.089969999999999999e+02,1.092056914710998541e+02,1.104928253822947681e+02,4.472765263865994712e+00,1.063476384097122747e+02,1.146380123548772616e+02,1.090066500680203916e+02,1.122666830023499651e+00,1.069299129892792592e+02,1.110833871467615239e+02
1.089969999999999999e+02,1.086507198600769044e+02,1.081126640082764396e+02,7.434704558093289117e-01,1.064226592440709851e+02,1.098026687724818942e+02,1.076909433082221597e+02,7.133117044861795319e-01,1.060355707688963065e+02,1.093463158475480128e+02
1.089969999999999999e+02,1.084507269325256402e+02,1.082960381327742425e+02,6.850200639715460227e-01,1.066738257306045767e+02,1.099182505349439083e+02,1.084353653680824294e+02,6.801721427923250740e-01,1.068189033970633233e+02,1.100518273391015356e+02
1.089969999999999999e+02,1.087598650398254421e+02,1.082006156345519088e+02,9.230375342384916637e-01,1.063175487234914982e+02,1.100836825456123194e+02,1.079215837457701070e+02,8.962158356589973174e-01,1.060660776815742423e+02,1.097770898099659718e+02
1.089969999999999999e+02,1.093390249137878385e+02,1.092983738719009494e+02,1.896743764950804323e+00,1.065990163840096159e+02,1.119977313597922830e+02,1.088017409211058464e+02,9.620330925636101371e-01,1.068793085221923320e+02,1.107241733200193607e+02
1.089969999999999999e+02,1.094637772998809879e+02,1.081848770032089675e+02,9.485642807416548861e-01,1.062759494139858560e+02,1.100938045924320789e+02,1.076619906659056767e+02,1.059106366650828912e+00,1.056448979515948423e+02,1.096790833802165110e+02
1.089969999999999999e+02,1.086258900356292685e+02,1.083668800977789175e+02,1.529927652482815148e+00,1.059425513103043386e+02,1.107912088852534964e+02,1.081624100377098330e+02,1.127238154096260381e+00,1.060814491796502210e+02,1.102433708957694449e+02
1.089969999999999999e+02,1.100254954509735086e+02,1.090767751008598765e+02,9.953009432250293775e-01,1.071213855991254320e+02,1.110321646025943210e+02,1.095637953751539868e+02,8.378355769386096608e-01,1.077697415430833416e+02,1.113578492072246320e+02
1.089969999999999999e+02,1.091066106147766135e+02,1.087170949593407840e+02,7.022599955078749900e-01,1.070745962534834348e+02,1.103595936651981333e+02,1.088323714848165480e+02,7.665335207790453520e-01,1.071163542432292815e+02,1.105483887264038145e+02
