truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.089969999999999999e+02,1.091819686889648438e+02,1.091790313331747626e+02,6.100967857753808454e-01,1.076481009584565953e+02,1.107099617078929299e+02,1.091035845149744290e+02,5.942915276037251671e-01,1.075926145177731428e+02,1.106145545121757152e+02
1.089969999999999999e+02,1.096719818115234375e+02,1.098967235776628399e+02,7.474552437331238863e-01,1.082021958958809336e+02,1.115912512594447463e+02,1.097176529876741427e+02,6.369933113828332161e-01,1.081533405172871340e+02,1.112819654580611513e+02
1.089969999999999999e+02,1.078852844238281250e+02,1.076411310015227372e+02,5.787245094540320878e-01,1.061500816812390013e+02,1.091321803218064730e+02,1.077322640603055390e+02,5.656944957679447272e-01,1.062580958287450699e+02,1.092064322918660082e+02
1.089969999999999999e+02,1.096012039184570312e+02,1.109198228203581778e+02,3.296295755447256504e+00,1.073613049021615922e+02,1.144783407385547633e+02,1.095698520647307532e+02,7.367206509638538625e-01,1.078875363830756271e+02,1.112521677463858794e+02
1.089969999999999999e+02,1.092167663574218750e+02,1.097586215089562813e+02,7.689559358084810947e-01,1.080398949096968551e+02,1.114773481082157076e+02,1.092281059992014605e+02,5.649143256620797748e-01,1.077549546582105080e+02,1.107012573401924129e+02
1.089969999999999999e+02,1.083465499877929688e+02,1.086156671089170231e+02,5.307065908989206937e-01,1.071878147217294384e+02,1.100435194961046079e+02,1.085895085275403460e+02,5.360214416313699992e-01,1.071545242174619830e+02,1.100244928376187090e+02
1.089969999999999999e+02,1.100748443603515625e+02,1.102934229751088679e+02,8.793361001462349780e-01,1.084554736933489494e+02,1.121313722568687865e+02,1.102025134836630542e+02,8.440945103675832062e-01,1.084017710059533499e+02,1.120032559613727585e+02
1.089969999999999999e+02,1.086757736206054688e+02,1.089449994885417254e+02,2.201252324250142056e+00,1.060370223688175457e+02,1.118529766082659052e+02,1.085096827939063360e+02,7.419365677929916636e-01,1.068214222930257478e+02,1.101979432947869242e+02
1.089969999999999999e+02,1.088276214599609375e+02,1.081188610851412903e+02,6.863403703889379148e-01,1.064950861109265361e+02,1.097426360593560446e+02,1.084785403641752168e+02,6.434553244855467646e-01,1.069063132894358006e+02,1.100507674389146331e+02
1.089969999999999999e+02,1.078931732177734375e+02,1.078352403421754673e+02,5.908144069389570374e-01,1.063286970717392421e+02,1.093417836126116924e+02,1.078683632359775970e+02,5.728802302668802859e-01,1.063848617386432522e+02,1.093518647333119418e+02
1.089969999999999999e+02,1.085952911376953125e+02,1.085487609317511328e+02,6.359178199513766394e-01,1.069857696019206657e+02,1.101117522615816000e+02,1.085014289354576675e+02,6.346587208328334784e-01,1.069399857114013486e+02,1.100628721595139865e+02
1.089969999999999999e+02,1.099575119018554688e+02,1.098664144847068798e+02,8.663544275246978232e-01,1.080420825059324841e+02,1.116907464634812754e+02,1.098354175746307106e+02,8.628886514095029936e-01,1.080147382939075129e+02,1.116560968553539084e+02
1.089969999999999999e+02,1.080137405395507812e+02,1.081882740937321898e+02,5.728182785964447410e-01,1.067048528120134421e+02,1.096716953754509376e+02,1.080658276252837737e+02,5.568896601655715095e-01,1.066031768404099296e+02,1.095284784101576179e+02
1.089969999999999999e+02,1.075952453613281250e+02,1.074878044845881959e+02,6.369058325549126209e-01,1.059235994320637673e+02,1.090520095371126246e+02,1.075380369925486832e+02,6.181547934301729885e-01,1.059970297068938265e+02,1.090790442782035399e+02
1.089969999999999999e+02,1.097696228027343750e+02,1.096700317985620359e+02,6.359616152633272845e-01,1.081069866484798041e+02,1.112330769486442676e+02,1.094887873479207627e+02,6.509377420656875524e-01,1.079074453767078552e+02,1.110701293191336703e+02
1.089969999999999999e+02,1.079839401245117188e+02,1.078394787466257725e+02,5.956567896820192942e-01,1.063267741742645853e+02,1.093521833189869596e+02,1.077680712012177509e+02,5.893290925816893067e-01,1.062634228562341718e+02,1.092727195462013299e+02
1.089969999999999999e+02,1.089232177734375000e+02,1.096428163948544778e+02,1.181410491830982901e+00,1.075124393048964748e+02,1.117731934848124808e+02,1.090626583134501146e+02,8.666541554591916663e-01,1.072380107848539694e+02,1.108873058420462598e+02
1.089969999999999999e+02,1.091631774902343750e+02,1.094647334807959140e+02,8.630046285719364940e-01,1.076439318493374060e+02,1.112855351122544221e+02,1.093832923641429602e+02,6.745505459094437439e-01,1.077735242512876539e+02,1.109930604769982665e+02
1.089969999999999999e+02,1.087958602905273438e+02,1.075744733309221317e+02,7.138691560293858318e-01,1.059184540829052281e+02,1.092304925789390353e+02,1.076943386698716552e+02,7.073629585685655696e-01,1.060458831680042238e+02,1.093427941717390866e+02
