truth,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,9.963697386759882146e-01,9.038643736569300646e-01,2.155173913114647899e+00,7.751840246939183388e-01,1.032544722619941790e+00,9.631320811985430996e-01,1.340815698648266885e+00,8.616345187851808252e-01,1.064629643611905374e+00
1.000000000000000000e+00,9.805015400047341068e-01,9.456194977408662883e-01,1.621198292494448578e+00,8.340130878850997576e-01,1.057225907596632819e+00,9.437651802611836116e-01,1.507559469596782442e+00,8.361413868100791014e-01,1.051388973712288122e+00
1.000000000000000000e+00,1.011643771774936695e+00,9.861934408773561644e-01,1.452591247508019601e+00,8.805499409691572854e-01,1.091836940785555043e+00,9.662176040345001882e-01,9.653320020855076233e-01,8.800965332189130130e-01,1.052338674850087363e+00
1.000000000000000000e+00,1.014541784225738930e+00,9.303686894098088800e-01,3.047042432096884301e+00,7.773620346058861541e-01,1.083375344213731717e+00,9.887667742387110659e-01,9.817932252874764787e-01,9.019145220599176227e-01,1.075619026417504509e+00
1.000000000000000000e+00,9.960677885080406746e-01,1.004318996307620671e+00,2.404297018382115070e+00,8.684047040067980339e-01,1.140233288608443418e+00,9.872077098857118260e-01,1.143851219061737146e+00,8.934610422846971378e-01,1.080954377486726514e+00
1.000000000000000000e+00,1.008686419997123496e+00,9.709431539163305702e-01,1.990068676779014334e+00,8.472900275610760756e-01,1.094596280271584954e+00,9.716747295325235401e-01,1.107025728953419774e+00,8.794494614077036365e-01,1.063899997657343333e+00
1.000000000000000000e+00,1.015857469293065529e+00,1.004302136453477434e+00,1.564769260027627951e+00,8.946552706585798598e-01,1.113949002248374898e+00,1.015514495493463842e+00,1.135749175969381630e+00,9.221004276620715645e-01,1.108928563324856009e+00
1.000000000000000000e+00,1.009015262479947328e+00,9.410656227128350038e-01,4.095217823621947417e+00,7.636836124004807713e-01,1.118447633025189347e+00,9.857570868088527671e-01,1.143141370994559480e+00,8.920395122476990624e-01,1.079474661370006361e+00
1.000000000000000000e+00,9.911566914470613110e-01,1.059160833319425343e+00,3.119106698575942360e+00,9.043554051636314428e-01,1.213966261475219355e+00,1.003475978034897631e+00,1.287163040567576244e+00,9.040298565756431648e-01,1.102922099494152208e+00
1.000000000000000000e+00,1.005281715575606860e+00,9.906436923285329987e-01,2.110932519032209687e+00,8.632909666795376413e-01,1.117996417977528356e+00,9.802949472109651063e-01,1.021834889271858504e+00,8.916892937725217072e-01,1.068900600649408617e+00
1.000000000000000000e+00,1.041243550277547891e+00,9.621707973298262440e-01,1.568502968469111414e+00,8.523931948448845164e-01,1.071948399814767861e+00,1.003005738980209616e+00,1.025574056275935453e+00,9.142381176919309738e-01,1.091773360268488258e+00
1.000000000000000000e+00,9.737282655835806100e-01,1.138241451695232165e+00,8.330264340990909844e+00,8.852531377661074785e-01,1.391229765624356851e+00,1.002077529690382995e+00,1.112060002478127752e+00,9.096427991447706418e-01,1.094512260235995349e+00
1.000000000000000000e+00,9.864914588957922614e-01,8.671704780520295142e-01,2.059346934496725012e+00,7.413834581846153737e-01,9.929574979194436546e-01,9.680424322499721068e-01,1.301460974153645589e+00,8.680455075141718657e-01,1.068039356985772237e+00
1.000000000000000000e+00,1.008756379777320911e+00,1.102833800761903849e+00,2.171206513814629702e+00,9.736757042795672890e-01,1.231991897244240519e+00,1.052290835052604345e+00,1.188105928776492348e+00,9.567478841248904242e-01,1.147833785980318266e+00
1.000000000000000000e+00,1.026056025905093039e+00,1.106382026715529543e+00,1.789051413813474545e+00,9.891402260529174040e-01,1.223623827378141682e+00,1.032057648842161113e+00,1.205585049608416393e+00,9.358144617941867027e-01,1.128300835890135412e+00
1.000000000000000000e+00,9.750954683573604953e-01,9.747571382547297603e-01,3.430114175124173492e+00,8.124172071523849681e-01,1.137097069357074552e+00,9.301459865943665362e-01,1.102809899626415735e+00,8.380964943588866678e-01,1.022195478829846405e+00
1.000000000000000000e+00,9.582128497315646198e-01,8.877782621723433465e-01,5.888696850210072498e+00,6.750718080165419854e-01,1.100484716328144597e+00,9.905444547752533246e-01,1.015321991999091900e+00,9.022216268714354781e-01,1.078867282679071060e+00
1.000000000000000000e+00,9.891490847581728696e-01,8.485095244016933602e-01,3.920812895993490255e+00,6.749457331245459768e-01,1.022073315678840633e+00,9.565304022871714551e-01,1.042350233122739223e+00,8.670397027082283881e-01,1.046021101866114522e+00
1.000000000000000000e+00,9.794884091402554782e-01,9.995462908960559556e-01,2.168862554779209084e+00,8.704579305343269624e-01,1.128634651257784949e+00,1.002974535761320896e+00,9.966387491495498629e-01,9.154681083547251408e-01,1.090480963167916650e+00
1.000000000000000000e+00,1.035450001645233264e+00,9.956378067384955566e-01,3.428985354021687471e+00,8.333245901724394278e-01,1.157951023304551574e+00,1.000698219097066799e+00,1.151643842995177636e+00,9.066327632989867880e-01,1.094763674895146810e+00
1.000000000000000000e+00,9.777040243513375195e-01,9.421841970078773665e-01,3.078022044954364489e+00,7.884016915796155933e-01,1.095966702436139251e+00,9.580301116287471830e-01,1.251277002741120636e+00,8.599800658997390768e-01,1.056080157357755178e+00
1.000000000000000000e+00,9.845831831161215852e-01,9.516812459179538886e-01,3.794131567905512092e+00,7.809443967537162967e-01,1.122418095082191591e+00,9.511535201411271956e-01,1.203827240456425862e+00,8.549805226112860979e-01,1.047326517670968293e+00
1.000000000000000000e+00,1.031653549102172773e+00,9.918476564669984619e-01,7.270316443927573147e+00,7.555019450568178918e-01,1.228193367877179032e+00,1.046310561229107039e+00,1.054416393315714684e+00,9.563033835535277305e-01,1.136317738904686347e+00
1.000000000000000000e+00,9.701936792236992568e-01,9.623026097723833550e-01,1.848255163090937181e+00,8.431366999279136243e-01,1.081468519616853197e+00,9.256690220564841587e-01,1.113056512179551261e+00,8.331928857056507542e-01,1.018145158407317563e+00
1.000000000000000000e+00,9.748231113637302325e-01,9.115869011720090231e-01,1.066627911140685336e+00,8.210600235782462564e-01,1.002113778765771901e+00,9.374186561515769345e-01,1.233679906758876399e+00,8.400605056986754082e-01,1.034776806604478461e+00
1.000000000000000000e+00,1.051173201573794014e+00,1.108297497182907376e+00,1.317870592912423700e+00,1.007672135869445595e+00,1.208922858496369157e+00,1.110804261648170366e+00,1.197751821371288772e+00,1.014874251776598513e+00,1.206734271519742219e+00
1.000000000000000000e+00,1.002378450828204759e+00,1.029026796162434421e+00,1.909691666301583712e+00,9.078965232719289347e-01,1.150157069052939907e+00,1.003606465157616201e+00,1.157498996996584317e+00,9.093021901022182440e-01,1.097910740213014158e+00
1.000000000000000000e+00,1.019118713440608115e+00,9.171720193550797484e-01,6.243231462065307547e+00,6.981560474047669995e-01,1.136187991305392497e+00,1.007924236336427581e+00,1.003306623686977872e+00,9.201255720464066590e-01,1.095722900626448393e+00
1.000000000000000000e+00,1.016822562212620129e+00,1.052120251366871484e+00,3.227836176621661224e+00,8.946397417403797458e-01,1.209600760993363222e+00,1.058002530741841696e+00,1.225437073879058092e+00,9.609701746639458531e-01,1.155034886819737538e+00
1.000000000000000000e+00,1.031081603234686561e+00,1.036043831680746985e+00,1.837022056364019829e+00,9.172405999761504836e-01,1.154847063385343375e+00,1.042634909006187716e+00,9.583728135160382022e-01,9.568248280086357749e-01,1.128444990003739656e+00
