truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.500000000000000000e+03,1.007133417868289138e+00,9.949603380882191539e-01,1.883552288530072394e+00,9.255060151048504213e-01,1.064414661071587664e+00,1.031395928607031554e+00,1.005411858039391149e+00,9.806521920881658971e-01,1.082139665125897654e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.008238609449370271e+00,1.016419713641458777e+00,1.638732843262317829e+00,9.516361967528937926e-01,1.081203230530024317e+00,9.835942153313832481e-01,8.933244536633585531e-01,9.357625994189404661e-01,1.031425831243825808e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.920405657447347592e-01,9.923552695796368228e-01,1.792088020091432643e+00,9.246082630628257304e-01,1.060102276096447804e+00,9.940356079389153221e-01,1.013662876823732351e+00,9.430840799434696553e-01,1.044987135934361211e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.029485836502191942e+00,1.010199389313148899e+00,1.613129812963968401e+00,9.459239430448557195e-01,1.074474835581441967e+00,1.028913048680357045e+00,9.764676453684240087e-01,9.789050619419213950e-01,1.078921035418792806e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.045188323065540326e+00,1.051306520515592702e+00,1.502024776153556340e+00,9.892840601748876805e-01,1.113328980856297834e+00,1.039151067062693112e+00,1.034295805904907217e+00,9.876835966374215570e-01,1.090618537487964668e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.817714815559350772e-01,1.002372431160154287e+00,1.229391983061897120e+00,9.462604464502275547e-01,1.058484415870081019e+00,1.006938511110013090e+00,9.045555695468129320e-01,9.588071583624118155e-01,1.055069863857614365e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.018814011372235928e+00,1.033413511048846711e+00,1.788563443734753511e+00,9.657331577920292842e-01,1.101093864305664471e+00,1.018304693437547703e+00,9.579067387984335769e-01,9.687742682575427589e-01,1.067835118617552315e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.960180520472318166e-01,9.647065139726013205e-01,1.576651107304801513e+00,9.011619737202599678e-01,1.028251054224942340e+00,9.873653109957281071e-01,9.406175658428688191e-01,9.382839062281248532e-01,1.036446715763331250e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.948907189543312324e-01,1.020219797620841140e+00,1.812132966756557551e+00,9.520949612046856192e-01,1.088344634036997105e+00,1.004829295058536243e+00,7.843007972497776370e-01,9.600113675241612743e-01,1.049647222592911433e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.036064998382020264e+00,1.006110348364955831e+00,1.580578953124349040e+00,9.424867044039120234e-01,1.069733992325999639e+00,1.014684179752359139e+00,8.699736793168201254e-01,9.674818430413905102e-01,1.061886516463327990e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.018262428660999808e+00,9.824474433192332823e-01,2.291998372604060474e+00,9.058317749991664503e-01,1.059063111639299892e+00,1.022029590191062098e+00,8.258100928433829147e-01,9.760409535317948748e-01,1.068018226850329100e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.917161073001299343e-01,9.878351125561308788e-01,1.888572348527031153e+00,9.182882960265372763e-01,1.057381929085724481e+00,9.871749411428262233e-01,1.015455677397968381e+00,9.361783757010109230e-01,1.038171506584641524e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.010377660390083587e+00,1.048827565364433001e+00,2.629258259731885428e+00,9.667684056864460640e-01,1.130886725042419938e+00,1.011210330702111859e+00,8.574992687500454513e-01,9.643476291806802880e-01,1.058073032223543430e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.946679213559863619e-01,1.000201232658787909e+00,1.608760201649608756e+00,9.360128993956102761e-01,1.064389565921965541e+00,9.765731217397410902e-01,8.669556595203322669e-01,9.294527308131420584e-01,1.023693512666340455e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.008603859601838293e+00,9.702848632818720231e-01,3.480035311892576200e+00,8.758782828114882735e-01,1.064691443752255662e+00,9.912316116498195440e-01,9.099003229015312222e-01,9.429582713161287488e-01,1.039504951983510672e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.015742357214563851e+00,1.043272799724241029e+00,1.842769550995740024e+00,9.745745051937106940e-01,1.111971094254771142e+00,1.016143584817843504e+00,9.943341988949592203e-01,9.656801706218479664e-01,1.066606999013838708e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.010871095298519151e+00,1.012297279113963500e+00,2.126161862236064071e+00,9.385053942396044402e-01,1.086089163988323225e+00,9.961065582718749978e-01,1.033965306324292621e+00,9.446473114787385938e-01,1.047565805065011624e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.009868343908577826e+00,1.016418631531454508e+00,1.330611996154374754e+00,9.580423861090417992e-01,1.074794876953867107e+00,1.008957617228986470e+00,8.948866275502018741e-01,9.610841975447340646e-01,1.056831036913238764e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.904392881187760178e-01,1.001797716886027922e+00,2.153902766304765404e+00,9.275259956320791588e-01,1.076069438139976686e+00,9.936776438610496198e-01,9.487744636556435518e-01,9.443838850973580445e-01,1.042971402624740751e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.043862912764260464e+00,1.053049069399850657e+00,2.077064798464080653e+00,9.801141571845536360e-01,1.125983981615147567e+00,1.033681641520862726e+00,8.635772196309666748e-01,9.866531519502892422e-01,1.080710131091436210e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.841313216468303704e-01,1.014321111804733500e+00,1.758771920069486239e+00,9.472067903914963560e-01,1.081435433217970310e+00,9.942115585443992432e-01,9.071699740968610648e-01,9.460106998211326168e-01,1.042412417267666092e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.005228197780987154e+00,1.095947805697528699e+00,3.345526962213000832e+00,1.003383678815899849e+00,1.188511932579157993e+00,1.024812945670764419e+00,8.900556149684636376e-01,9.770689223068371732e-01,1.072556969034691665e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.928339526353111566e-01,9.263889419035090667e-01,1.694022790077646334e+00,8.605216108490211235e-01,9.922562729579971208e-01,9.756677641939822676e-01,9.511966120933128543e-01,9.263111239448886813e-01,1.025024404443075854e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.992302987813872495e-01,9.867385159257436866e-01,1.553405831871508713e+00,9.236641479478422401e-01,1.049812883903645133e+00,1.024203512134834071e+00,9.231129101500604728e-01,9.755809484040416368e-01,1.072826075865626505e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.015593001544731422e+00,1.000106570051387811e+00,1.235280340415023659e+00,9.438603674788978992e-01,1.056352772623877501e+00,1.003665453716982681e+00,9.265765499624090129e-01,9.549517562980460728e-01,1.052379151135919511e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.043715985972971438e+00,1.038395674006369118e+00,2.715684717672444126e+00,9.549987339689374188e-01,1.121792614043800818e+00,1.051069202080386678e+00,8.224451394947968064e-01,1.005174356706181937e+00,1.096964047454591196e+00
