truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,9.915420186655989898e-01,9.453141748054539883e-01,6.246849098910304265e-01,8.760351801557424434e-01,1.014593169455165533e+00,9.847223861542502288e-01,6.737766361290098427e-01,9.127726769768921278e-01,1.056672095331608219e+00
1.000000000000000000e+00,9.789473577609283383e-01,9.711386528160864673e-01,7.398790998147046771e-01,8.957421071412590141e-01,1.046535198490913920e+00,9.595376084171052256e-01,6.500963763692864106e-01,8.888635645330844604e-01,1.030211652301125991e+00
1.000000000000000000e+00,1.012110144915080667e+00,9.893217940469876126e-01,6.766361413186312568e-01,9.172195693865841104e-01,1.061424018707391115e+00,9.759333487332632062e-01,6.028226778865342084e-01,9.078774364350813419e-01,1.043989261031444959e+00
1.000000000000000000e+00,1.007871062380203409e+00,9.608086739988738190e-01,9.130609209751937572e-01,8.770517061213496390e-01,1.044565641876397999e+00,9.796717705374906604e-01,5.639949556468478731e-01,9.138440708721836669e-01,1.045499470202797765e+00
1.000000000000000000e+00,9.973820043941409308e-01,1.001088067166781448e+00,1.400766398226077847e+00,8.973462318694888085e-01,1.104829902464074198e+00,9.968283957093678760e-01,6.387771815463436642e-01,9.267723264415530515e-01,1.066884464977182700e+00
1.000000000000000000e+00,1.008183463471139740e+00,9.815559870556851418e-01,9.055253574804271732e-01,8.981453616738213075e-01,1.064966612437548976e+00,9.985990176281348552e-01,5.776008686232689815e-01,9.319820303515677917e-01,1.065216004904701919e+00
1.000000000000000000e+00,1.016906762927200170e+00,1.004462880904776867e+00,7.151609158692447954e-01,9.303364730003965688e-01,1.078589288809157276e+00,1.011607234537413191e+00,6.161083374016904646e-01,9.428054643717795891e-01,1.080409004703046794e+00
1.000000000000000000e+00,1.007163266433838134e+00,9.789231302726486561e-01,1.360316766839966052e+00,8.766901327474619920e-01,1.081156127797835431e+00,9.967573629911510302e-01,6.818371671211882479e-01,9.243785586184238845e-01,1.069136167363878176e+00
1.000000000000000000e+00,9.916164890752283689e-01,1.020445563552263346e+00,1.186540990037209919e+00,9.249655565630832132e-01,1.115925570541443479e+00,1.003296573895880561e+00,7.472967076809393649e-01,9.275230292747254079e-01,1.079070118517035715e+00
1.000000000000000000e+00,1.007647815390856127e+00,9.773674706508737042e-01,1.019649000140168793e+00,8.888566396872173980e-01,1.065878301614530121e+00,9.838680395014390845e-01,7.101815257425739825e-01,9.100001391753478330e-01,1.057735939827530336e+00
1.000000000000000000e+00,1.045694431172408789e+00,9.875556387065712594e-01,7.535320359641286547e-01,9.114666293903790351e-01,1.063644648022763484e+00,1.020532928504611636e+00,5.023693535972153512e-01,9.584056058715050286e-01,1.082660251137718355e+00
1.000000000000000000e+00,9.719694569106818172e-01,1.078876252608999220e+00,4.164602687870619491e+00,8.999978710995291120e-01,1.257754634118469328e+00,9.774923234557463259e-01,7.063583369763843933e-01,9.038235215470892259e-01,1.051161125364403315e+00
