truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.500000000000000000e+03,1.006389263147452251e+00,9.934175679713140861e-01,1.662222478363554412e+00,9.281713988736501886e-01,1.058663737068977984e+00,1.030320534554370893e+00,8.922201472817835599e-01,9.825184919355476332e-01,1.078122577173194152e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.006926987160972287e+00,1.012256259109540979e+00,1.313065025596401370e+00,9.542661990283446416e-01,1.070246319190737205e+00,9.809503816306951451e-01,8.090330099817665266e-01,9.354312925130809919e-01,1.026469470748309298e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.885921375250728005e-01,9.866276560791100714e-01,1.389728932443906162e+00,9.269687217558727488e-01,1.046286590402347283e+00,9.884382588577959039e-01,8.772100793185322321e-01,9.410400152847824273e-01,1.035836502430809380e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.027987830490919796e+00,1.020367247893497753e+00,1.288964744130026263e+00,9.629118335211347413e-01,1.077822662265860876e+00,1.033667632374209333e+00,8.650337140722692553e-01,9.865995007918599846e-01,1.080735763956558682e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.043545337198154010e+00,1.051523658145480766e+00,1.258804342790847741e+00,9.947444203716528932e-01,1.108302895919308639e+00,1.034238703283812955e+00,9.394150207984029999e-01,9.851886829379173927e-01,1.083288723629708405e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.819497681157448588e-01,9.975931907933830445e-01,9.072586754637956830e-01,9.493899756332458972e-01,1.045796405953520303e+00,1.004243695270482295e+00,7.991246135708908183e-01,9.590042057692811373e-01,1.049483184771683453e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.016618372710140550e+00,1.032844012252237542e+00,1.396327208676066300e+00,9.730436186924960040e-01,1.092644405811979080e+00,1.013021859586957785e+00,8.374283603411358801e-01,9.667108472962401278e-01,1.059332871877675553e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.959225551101296148e-01,9.655086462091403421e-01,1.274328374476815018e+00,9.083803701782632301e-01,1.022636922240017565e+00,9.856195264859590743e-01,8.057791910839737781e-01,9.401920653310718023e-01,1.031046987640846346e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.927232994865886617e-01,1.021052680749036767e+00,1.408143964206147514e+00,9.609997826624645523e-01,1.081105578835608982e+00,1.008956138881758058e+00,6.861707990860165252e-01,9.670356288517115706e-01,1.050876648911804434e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.035480107823315787e+00,1.013461236113238462e+00,1.228107472387751864e+00,9.573785729220478657e-01,1.069543899304429058e+00,1.014847992789091657e+00,7.841226961326631661e-01,9.700351542309043618e-01,1.059660831347279064e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.018363014477764672e+00,9.834342960653456034e-01,1.795276782023439655e+00,9.156270433273027143e-01,1.051241548803388604e+00,1.014230811071845428e+00,7.371174134582899606e-01,9.707819119255197693e-01,1.057679710218170976e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.919244776168003597e-01,9.901169334574898562e-01,1.366944506837367346e+00,9.309490704603839983e-01,1.049284796454595714e+00,9.864555865766885256e-01,8.115346115240420488e-01,9.408661772536833778e-01,1.032044995899693562e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.008856789234514828e+00,1.035342838476505101e+00,1.899232648597376949e+00,9.656000149849960357e-01,1.105085661968014055e+00,1.009746854475603861e+00,7.351140313024998596e-01,9.663570395213108011e-01,1.053136669429896921e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.947176957407330988e-01,9.944469122668524452e-01,1.270278834713818084e+00,9.374094791114435665e-01,1.051484345422261324e+00,9.755052016359462286e-01,7.783345404759310915e-01,9.308580668216244192e-01,1.020152336450268038e+00
