truth,Riesz_Informed,Riesz_Oracle,Riesz,Outcome_Informed,Outcome_Oracle,covered_outcome_adapted,covered_riesz_adapted
1.000000000000000000e+00,1.246484147748483151e+00,9.067565941737829593e-01,1.207063524486222006e+00,1.129237588043965568e+00,1.133861332574562342e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.263387720312717954e-01,7.222935075462089127e-01,9.328183600291094502e-01,9.149973706248435423e-01,9.097735418645789274e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.285516691065771600e+00,1.118828454351809221e+00,1.105838460562246883e+00,1.099560020591930698e+00,1.106314344678940520e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,5.351254694698359682e-01,4.096509131472986787e-01,5.766356727658131787e-01,5.782941703946553602e-01,6.066042452571198673e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.203240445623418475e-01,9.675207178316150847e-01,8.897535623353518552e-01,9.005364335932689590e-01,9.373045956848694571e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.253282948713557943e+00,1.177304081401596481e+00,1.060326033559735315e+00,1.047523413243756307e+00,1.041445938863462706e+00,1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,9.959054949069261475e-01,9.728806563247314187e-01,9.002396695928076564e-01,8.823328798350762447e-01,8.786855864361953206e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.050859057994432133e+00,1.022747731368722102e+00,1.064280380324527320e+00,1.051984083822885552e+00,1.092462885983280341e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.944325358984454022e-01,7.618432258134576474e-01,9.212060960085025618e-01,8.860278559688337108e-01,9.233665411448188642e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.267375369168276089e-01,6.214464486745631122e-01,7.528909495550407671e-01,7.562470794676492414e-01,8.029026366434000028e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.193263574474767275e+00,1.179679193582445995e+00,1.096000301294284052e+00,1.046079120849424005e+00,1.050126882564436759e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.129801056044748009e+00,1.121338137172964711e+00,8.967262723643844025e-01,9.072998897271422614e-01,9.227295025875515977e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,7.042874389121475120e-01,6.072995674863945759e-01,7.331237974595287143e-01,7.250508005401613554e-01,7.451935128379506557e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.478976202700989395e-01,8.538012233216917268e-01,9.270670958159349384e-01,9.009716772047745570e-01,8.905363785360685958e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.181718209591254176e+00,1.107984381937494378e+00,1.061355572201787334e+00,1.025500087020540851e+00,1.033555014894809831e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.184311225191074568e+00,9.400679900626485175e-01,1.161838613182937019e+00,1.128901942727184471e+00,1.149358726567114797e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.183420454838026492e+00,1.251319234207608933e+00,1.138063642907827910e+00,1.135314225041386127e+00,1.139325110515867490e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.248287727051582419e+00,1.251452134331899391e+00,9.565437355717447687e-01,9.708453451181405791e-01,9.890209827799786302e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.686872921954661209e-01,1.032511373863841175e+00,9.720573354334881566e-01,9.725859411548758438e-01,9.882156744448499230e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.696197113167717152e-01,1.019048565478849255e+00,8.189670272809633778e-01,8.926961633376016003e-01,8.573481190497940219e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.200460718854662989e+00,1.272542889776944186e+00,8.661348344680316336e-01,8.285647642122564438e-01,7.975312646267029848e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.010291422759082458e+00,1.066339770854550117e+00,8.240322611393692265e-01,8.701244803401850803e-01,8.987734604848678366e-01,1.000000000000000000e+00,8.000000000000000444e-01
