truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,9.830889505310583809e-01,1.343745090048010793e+00,1.278690268498528404e+01,1.122109882207199760e+00,1.565380297888821826e+00,1.111762405762561912e+00,5.460413536542424673e+00,9.669289681800016245e-01,1.256595843345122088e+00
1.000000000000000000e+00,8.417582932148557351e-01,7.828805646958190145e-01,3.694503874570020940e+01,4.061471565071080314e-01,1.159613972884530053e+00,9.324704050744192507e-01,5.523331433324355721e+00,7.868049320402824565e-01,1.078135878108556156e+00
1.000000000000000000e+00,9.430385320741641042e-01,1.020085165962999030e+00,1.575594381381537268e+01,7.740607083268665756e-01,1.266109623599131595e+00,1.047961454669228853e+00,5.529214486659679295e+00,9.022184261157100149e-01,1.193704483222747692e+00
1.000000000000000000e+00,9.230545216151196941e-01,1.283083516306507521e+00,4.033458614911850759e+01,8.894474583158127334e-01,1.676719574297202309e+00,1.005610573242225358e+00,5.976057721497643804e+00,8.540928404750494085e-01,1.157128306009401308e+00
1.000000000000000000e+00,8.619228000210207297e-01,9.708818273677400912e-01,2.111589898383828512e+01,6.860681382017992380e-01,1.255695516533680944e+00,9.415213045502925926e-01,5.460898714735098025e+00,7.966814326139837199e-01,1.086361176486601465e+00
1.000000000000000000e+00,1.076405782997305272e+00,1.863214785853851252e+00,2.194179296276059574e+02,9.451102610542992943e-01,2.781319310653403321e+00,1.211977214967753236e+00,5.030842751106810340e+00,1.072957484308210141e+00,1.350996945627296331e+00
1.000000000000000000e+00,9.515690470822762981e-01,1.144173395353355938e+00,2.156492703566358315e+01,8.563473650847139851e-01,1.431999425621997890e+00,1.041162392296488548e+00,5.176081004675423536e+00,9.001502198163756630e-01,1.182174564776601322e+00
1.000000000000000000e+00,1.018794940828542606e+00,8.963162280863163911e-01,1.677951403031305588e+01,6.424261315901146352e-01,1.150206324582518036e+00,1.059199703827856220e+00,5.173635784476123156e+00,9.182208428960005886e-01,1.200178564759711852e+00
1.000000000000000000e+00,9.023107749839205383e-01,1.110821747647766200e+00,4.554422424338878272e+01,6.925363285217795983e-01,1.529107166773752802e+00,1.042377626462534401e+00,5.381089579387030142e+00,8.986000422285056466e-01,1.186155210696563156e+00
1.000000000000000000e+00,8.038420084719199998e-01,1.035659395942900574e+00,2.583590752881913488e+01,7.206177758945145895e-01,1.350701015991286447e+00,8.760456042278262911e-01,5.511929949292845521e+00,7.305305531396196761e-01,1.021560655316033017e+00
1.000000000000000000e+00,9.352525569096405977e-01,7.482194826398176346e-01,4.899367731487880917e+01,3.143829802880233060e-01,1.182055984991611908e+00,9.806079442657551493e-01,5.726144792839086506e+00,8.322922072849120445e-01,1.128923681246598365e+00
1.000000000000000000e+00,8.311846409409773262e-01,8.615438197653083607e-01,2.456534629605288345e+01,5.543464331701148939e-01,1.168741206360501828e+00,9.367521507478782095e-01,5.389359081919747219e+00,7.928641323130449781e-01,1.080640169182711441e+00
1.000000000000000000e+00,9.031404797499080761e-01,1.011780586284801053e+00,1.226274593181320682e+01,7.947355108473389551e-01,1.228825661722263263e+00,1.025410614646032892e+00,6.485656833487674966e+00,8.675648060493956759e-01,1.183256423242670108e+00
1.000000000000000000e+00,8.273024394877316334e-01,6.777596857845935574e-01,3.625598909848348228e+01,3.045559777098557075e-01,1.050963393859331463e+00,9.209874314305559473e-01,5.186877855389630199e+00,7.798282660559164858e-01,1.062146596805195298e+00
1.000000000000000000e+00,8.272742265602200940e-01,9.226599365654967189e-01,1.510156439871910550e+01,6.817986283524104518e-01,1.163521244778582986e+00,9.308106746122482011e-01,5.160417818087115194e+00,7.900120201798870312e-01,1.071609329044609371e+00
1.000000000000000000e+00,9.006841028192670295e-01,7.727640341486862186e-01,4.108269248203056634e+01,3.754942625337688300e-01,1.170033805763603496e+00,9.569751970581341638e-01,5.394598012290400035e+00,8.130172597152602876e-01,1.100933134401008040e+00
1.000000000000000000e+00,8.892809347451124946e-01,1.068726395977140253e+00,1.477708859534141972e+01,8.304667402486397565e-01,1.306986051705640861e+00,1.004203274628064690e+00,5.625430690815029777e+00,8.571976470424684802e-01,1.151208902213660901e+00
1.000000000000000000e+00,1.027151461270473520e+00,8.113154732917391421e-01,4.520501285335965491e+01,3.945906511639152847e-01,1.228040295419563055e+00,1.107382778071335450e+00,5.435018827562331012e+00,9.628865209296244565e-01,1.251879035213046443e+00
1.000000000000000000e+00,9.314902442271375538e-01,9.054388913969269037e-01,1.695195841231897305e+01,6.502475054984907521e-01,1.160630277295362944e+00,9.995419369337769089e-01,5.697236514318474221e+00,8.516010575481052225e-01,1.147482816319448595e+00
1.000000000000000000e+00,8.643218110946542243e-01,1.115448835299772679e+00,2.238482247208407472e+01,8.222022939582622758e-01,1.408695376641283081e+00,9.846863737414436324e-01,5.408705349784479033e+00,8.405403281080927602e-01,1.128832419374794505e+00
1.000000000000000000e+00,9.680790174297640993e-01,1.301826227402646197e+00,2.032059031620860168e+01,1.022427623686115616e+00,1.581224831119176777e+00,1.086482657835984522e+00,5.426231074892548634e+00,9.421032642325093409e-01,1.230862051439459703e+00
1.000000000000000000e+00,8.766808134604562319e-01,8.232421362766160211e-01,1.629448385395715704e+01,5.730484329718329439e-01,1.073435839581398987e+00,9.296945467669703866e-01,6.181424270902597051e+00,7.755953596208358114e-01,1.083793733913104962e+00
1.000000000000000000e+00,8.084005191328520468e-01,1.016112682803972378e+00,1.500542572835808031e+01,7.760192770676623830e-01,1.256206088540282373e+00,8.761951553579909735e-01,5.469239498079637940e+00,7.312447139794883144e-01,1.021145596736493744e+00
1.000000000000000000e+00,9.294566330052554948e-01,1.017811542265491198e+00,3.051867275443698446e+01,6.754074925618623881e-01,1.360215591969120119e+00,1.011934175429640481e+00,5.097342696184392175e+00,8.719986484836145246e-01,1.151869702375666549e+00
1.000000000000000000e+00,8.782141354037624748e-01,9.598367179726349230e-01,1.477449234577312254e+01,7.215979935898805264e-01,1.198075442355389431e+00,9.484379553091767390e-01,5.156237650304991149e+00,8.076963390138831578e-01,1.089179571604470320e+00
1.000000000000000000e+00,9.210880261366989341e-01,8.667271760071091347e-01,1.898470530894065078e+01,5.966685825226092366e-01,1.136785769491609033e+00,9.451900145868742387e-01,5.166982709009737995e+00,8.043018292236869815e-01,1.086078199950061496e+00
1.000000000000000000e+00,8.701879972653567830e-01,9.551517468858116144e-01,3.109073902136913858e+01,6.095534496902210719e-01,1.300750044081402157e+00,9.297400934800462702e-01,5.382970447143389237e+00,7.859373839445648047e-01,1.073542803015527625e+00
1.000000000000000000e+00,8.932414995614079700e-01,1.153354119169357928e+00,2.084087060353620302e+01,8.704013165493014181e-01,1.436306921789414437e+00,1.028205131257434735e+00,5.420828865495282756e+00,8.838976256671616794e-01,1.172512636847707679e+00
1.000000000000000000e+00,8.740873831930842108e-01,8.127049090848679214e-01,1.993108339011604002e+01,5.359970307158743452e-01,1.089412787453861498e+00,9.543003344895535367e-01,5.767892375364674251e+00,8.054449168884432186e-01,1.103155752090663855e+00
1.000000000000000000e+00,8.903563663671587580e-01,9.895505540410654000e-01,4.388890604914895022e+01,5.789368408282568046e-01,1.400164267253873884e+00,9.851633462954184628e-01,5.152944310404586226e+00,8.444666837093774969e-01,1.125860008881459429e+00
1.000000000000000000e+00,9.761992545364548413e-01,1.161975618764348406e+00,3.676431855178790187e+01,7.861647539020504283e-01,1.537786483626646383e+00,1.080776394920131445e+00,5.106576717328746184e+00,9.407141761839922234e-01,1.220838613656270777e+00
1.000000000000000000e+00,9.513310784381472374e-01,1.026946406059381367e+00,4.737778431487939201e+01,6.003242122812790793e-01,1.453568599837483655e+00,1.047661412185368901e+00,5.572323058850952471e+00,9.013513432807244152e-01,1.193971481090013498e+00
1.000000000000000000e+00,8.020877611027811271e-01,8.419524679830949765e-01,2.272490429253277355e+01,5.464867469083924956e-01,1.137418189057797457e+00,9.130331603077240787e-01,6.199701749199284961e+00,7.587063180549131758e-01,1.067360002560534982e+00
1.000000000000000000e+00,7.672854139764929693e-01,7.964972811627688554e-01,3.616495431552274198e+01,4.237624042079657927e-01,1.169232158117571974e+00,8.689686651123260663e-01,6.230520048379551312e+00,7.142587241975455470e-01,1.023678606027106586e+00
1.000000000000000000e+00,1.034008873715255961e+00,9.387582166893169155e-01,3.752831130230589451e+01,5.590626008350667586e-01,1.318453832543567072e+00,1.074514534418399725e+00,5.108601940607691461e+00,9.344245447152146333e-01,1.214604524121584816e+00
1.000000000000000000e+00,7.884365664083848868e-01,7.872828041002865040e-01,2.661322580273418481e+01,4.675370171948393105e-01,1.107028591005733809e+00,8.539655106543766472e-01,5.381546432633480315e+00,7.101818232082522941e-01,9.977491981005010002e-01
1.000000000000000000e+00,9.441362361367759970e-01,9.431550937251195199e-01,3.053995014751784609e+01,6.006317040322336487e-01,1.285678483418005502e+00,1.004607313822941439e+00,6.011462121964155081e+00,8.526414199923272319e-01,1.156573207653555535e+00
1.000000000000000000e+00,9.719369105699616762e-01,9.607634391000811069e-01,1.370643088957874056e+01,7.312974832255643154e-01,1.190229394974597898e+00,1.024932941739113090e+00,5.171980986479196574e+00,8.839766287990447058e-01,1.165889254679181475e+00
1.000000000000000000e+00,9.598271840109316999e-01,8.206605164299266564e-01,3.227006303755101868e+01,4.685686617029875545e-01,1.172752371156865703e+00,1.035643163018997948e+00,6.132381848027740112e+00,8.821564922381663898e-01,1.189129833799829505e+00
1.000000000000000000e+00,9.680940127543603557e-01,1.084146731851923562e+00,1.517545587585686739e+01,8.426968793096374366e-01,1.325596584394209687e+00,1.075613169328034191e+00,5.248694808736797945e+00,9.336153313964541400e-01,1.217611007259614242e+00
1.000000000000000000e+00,8.988107552171062942e-01,1.289577622261172341e+00,5.364987331176575225e+01,8.355937532586721339e-01,1.743561491263672547e+00,1.049849109023322402e+00,5.524878514844604460e+00,9.041632370156804654e-01,1.195534981030964339e+00
1.000000000000000000e+00,8.246871093750206549e-01,6.905979122940757442e-01,2.462873027260580727e+01,3.830044627291630532e-01,9.981913618589883797e-01,9.050184873859130619e-01,5.725849737699834741e+00,7.567065716395789954e-01,1.053330403132247017e+00
1.000000000000000000e+00,8.963771502098718535e-01,1.022193341176514059e+00,1.551823471552295075e+01,7.780318157816374924e-01,1.266354866571390625e+00,1.009052996284685477e+00,5.110562771216917710e+00,8.689361238463281234e-01,1.149169868723042942e+00
1.000000000000000000e+00,8.940001733496125702e-01,7.789445619603256876e-01,2.522875091938641035e+01,4.676267668828280044e-01,1.090262357037823371e+00,9.399866332063065988e-01,5.950984051489518478e+00,7.887870950714229723e-01,1.091186171341190114e+00
1.000000000000000000e+00,8.989475441170814429e-01,9.903326813237608439e-01,1.046906200147203414e+01,7.897885500587074059e-01,1.190876812588814282e+00,9.717516912215232727e-01,5.098533752747361980e+00,8.317998164053770349e-01,1.111703566037669511e+00
