truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,2.000000000000000000e+03,9.859866745889015460e-01,9.993028246247107615e-01,2.526060588938402418e+01,7.790289682723764431e-01,1.219576680977045191e+00,1.098406529920382679e+00,1.328158884656489569e+01,9.386840335196505736e-01,1.258129026321114674e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.646717036521001987e-01,9.605405064926625380e-01,5.936790204593292231e+01,6.228514983063908605e-01,1.298229514678934438e+00,1.106494255248355874e+00,1.611561978468624545e+01,9.305542584243665649e-01,1.282434252072345071e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.129937116989196300e-01,9.935268410604679579e-01,1.982541593504820909e+01,7.983841780468650118e-01,1.188669504074070904e+00,9.925720549772577561e-01,1.370162252883277176e+01,8.303435847465922004e-01,1.154800525207923645e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.866915119386553634e-01,8.969057335053813862e-01,7.630213604484217704e+00,7.758432938657752187e-01,1.017968173144987443e+00,9.417290789514962679e-01,1.180211306941813021e+01,7.911651430845753064e-01,1.092293014818417562e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.006759258018675052e-01,8.738857652051257308e-01,8.816040225803202901e+00,7.437556377721489254e-01,1.004015892638102647e+00,9.747909133595688003e-01,1.461182356518537873e+01,8.072606453361214074e-01,1.142321181383016082e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.028399597159113998e+00,1.156873480640332907e+00,2.101041813019661575e+01,9.559834332400656276e-01,1.357763528040599965e+00,1.161031698606573626e+00,1.320841458691119996e+01,1.001749801523009520e+00,1.320313595690137509e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.144143259255228529e-01,1.000871842506519949e+00,1.273794023798441621e+01,8.444524204096446329e-01,1.157291264603395486e+00,1.009256047544413004e+00,1.392664406926049558e+01,8.457008644157957278e-01,1.172811230673030281e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.781042938073922777e-01,1.097577765154015950e+00,1.290874114159630359e+01,9.401131342530476553e-01,1.255042396054984355e+00,1.040605337584339152e+00,1.287468284962336718e+01,8.833485704245231940e-01,1.197862104744155110e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.018295081213896225e-01,9.898711279326377621e-01,8.250716022728084909e+00,8.639823860354526319e-01,1.115759869829823003e+00,9.520062367913545431e-01,1.276688834311809018e+01,7.954091770186334509e-01,1.108603296564075968e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.568278783621352312e-01,8.909755536077793581e-01,1.576437767366986797e+01,7.169634372607127659e-01,1.064987669954845950e+00,1.040976502380978719e+00,1.454869172218871931e+01,8.738085417546072042e-01,1.208144463007349900e+00
