truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.250000000000000000e+02,9.972544036868141726e-01,1.073470769946614389e+00,8.728603180577956255e-01,9.096860283410344028e-01,1.237255511552194376e+00,1.198232935539068622e+00,3.849538391014557526e+00,8.542749534200717587e-01,1.542190917658065485e+00
1.000000000000000000e+00,1.250000000000000000e+02,5.798160358732240560e-01,7.610083221568161305e-01,3.232885260491181523e+00,4.458010631451883587e-01,1.076215581168443958e+00,7.481563303057643388e-01,4.941394772337552865e+00,3.584604267356914509e-01,1.137852233875837227e+00
1.000000000000000000e+00,1.250000000000000000e+02,3.375901215201864147e-01,5.409930342181064056e-01,4.171773970159668998e+00,1.829283821367775342e-01,8.990576862994352769e-01,6.186812824817213841e-01,5.495207367266202070e+00,2.077273812023701649e-01,1.029635183761072659e+00
1.000000000000000000e+00,1.250000000000000000e+02,3.961522167099665315e-01,4.652747050646605098e-01,7.719108853920941815e-01,3.112520351144932862e-01,6.192973750148277334e-01,5.165427206341504096e-01,2.206618551111162674e+00,2.561284994257280179e-01,7.769569418425728013e-01
1.000000000000000000e+00,1.250000000000000000e+02,1.004939811756952350e+00,1.119593361489322980e+00,2.118913164240858293e+00,8.644068914444136276e-01,1.374779831534232333e+00,1.237399085319947023e+00,4.388286101287427243e+00,8.701603086450889757e-01,1.604637861994805181e+00
1.000000000000000000e+00,1.250000000000000000e+02,1.073772856178241142e+00,1.191694127479363097e+00,1.461772265873442889e+00,9.797404658156981805e-01,1.403647789143028124e+00,1.371297368722644849e+00,4.284093588054472157e+00,1.008444517799628848e+00,1.734150219645660851e+00
1.000000000000000000e+00,1.250000000000000000e+02,9.935309252776518552e-01,1.184652202957378497e+00,2.427264510071129422e+00,9.115283579069801689e-01,1.457776048007776826e+00,1.183359244845020086e+00,2.980295101110809863e+00,8.807161988594591762e-01,1.486002290830580996e+00
1.000000000000000000e+00,1.250000000000000000e+02,7.042033430452688814e-01,8.583149253462842854e-01,1.823693335304604757e+00,6.215720214711113467e-01,1.095057829221457224e+00,8.848101482871634227e-01,2.604774887597776534e+00,6.018754815077725917e-01,1.167744815066554143e+00
1.000000000000000000e+00,1.250000000000000000e+02,7.101732470811878972e-01,8.369047064792471957e-01,2.567494205886520220e+00,5.560020793454497623e-01,1.117807333613044740e+00,8.653821329551784070e-01,3.116983836689455778e+00,5.558766550453202449e-01,1.174887610865036569e+00
1.000000000000000000e+00,1.250000000000000000e+02,7.910186175477150750e-01,1.070709881842902833e+00,3.746908579702248332e+00,7.313678832658430107e-01,1.410051880419962655e+00,1.168150583647572294e+00,6.044181195685009556e+00,7.371579945572861448e-01,1.599143172737858443e+00
1.000000000000000000e+00,1.250000000000000000e+02,9.322989066312475925e-01,1.127473453089973043e+00,3.116031861445651252e+00,8.180152426779097041e-01,1.436931663502036383e+00,1.239793763095993873e+00,5.182851903511223490e+00,8.406903291590885896e-01,1.638897197032899156e+00
