truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,2.124383612811565403e+00,2.284214658848348289e+00,8.366018242377697145e-03,2.104941415780906322e+00,2.463487901915790257e+00,2.293621263786667530e+00,1.107850261343704124e-02,2.087322510422087607e+00,2.499920017151247453e+00
2.121539888279284192e+00,1.874747551023960179e+00,2.070931726554269936e+00,1.074422048002332368e-02,1.867769236423690860e+00,2.274094216684849012e+00,2.083189186249041924e+00,9.343390341050479553e-03,1.893733206311275064e+00,2.272645166186809007e+00
2.121539888279284192e+00,2.031993255674839016e+00,2.166950484971850610e+00,8.129736849632219001e-03,1.990226980362115317e+00,2.343673989581585904e+00,2.172647388959010772e+00,8.652244430724102126e-03,1.990333203539801810e+00,2.354961574378219957e+00
2.121539888279284192e+00,1.835149888873100377e+00,1.974128234596348896e+00,1.061738928958636495e-02,1.772168429944841694e+00,2.176088039247856099e+00,2.071412812315504226e+00,1.230655843971645291e-02,1.853980351762773759e+00,2.288845272868234915e+00
2.121539888279284192e+00,1.898190132200717972e+00,2.035969897047258836e+00,9.944615951836854525e-03,1.840513414318809993e+00,2.231426379775707680e+00,2.066666955398520411e+00,1.042004629826777384e-02,1.866592844481026914e+00,2.266741066316013686e+00
2.121539888279284192e+00,1.991654521942138656e+00,2.099448578578445357e+00,9.472423109174451378e-03,1.908688885204282704e+00,2.290208271952608232e+00,2.075811117828771479e+00,9.782130606493993907e-03,1.881957995754590440e+00,2.269664239902952296e+00
2.121539888279284192e+00,2.067719946980476564e+00,2.221551396979925652e+00,1.176028199724846179e-02,2.008999522557163520e+00,2.434103271402687785e+00,2.238661703117820423e+00,1.301769353693759540e-02,2.015035292576714099e+00,2.462288113658926747e+00
2.121539888279284192e+00,1.967446815550327299e+00,2.152754064639515352e+00,8.582264917845822821e-03,1.971178656314498845e+00,2.334329472964531860e+00,2.145615356966822151e+00,9.116536054508907541e-03,1.958473472539520754e+00,2.332757241394123326e+00
2.121539888279284192e+00,1.896794701576232978e+00,2.036578025694717908e+00,9.183576950546950765e-03,1.848749302616427226e+00,2.224406748773008591e+00,2.131617717751494112e+00,1.215870522780859372e-02,1.915495340374348210e+00,2.347740095128640014e+00
2.121539888279284192e+00,2.044661174178123542e+00,2.178234871570100761e+00,9.027069833073797858e-03,1.992013520831963591e+00,2.364456222308238154e+00,2.241043106148175923e+00,1.031134604385714609e-02,2.042015301653222092e+00,2.440070910643129753e+00
