truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,1.955405509908993977e+00,2.085221423721099754e+00,5.640856913550896037e-03,1.938014372534354157e+00,2.232428474907845128e+00,2.056788348179207304e+00,5.238896300387594837e-03,1.914923116259723335e+00,2.198653580098691496e+00
2.121539888279284192e+00,1.966420605103174735e+00,2.166437430108078654e+00,6.920194179941763918e-03,2.003389529288520876e+00,2.329485330927636433e+00,2.149762903745066289e+00,6.254990881885832792e-03,1.994749443130019673e+00,2.304776364360113128e+00
2.121539888279284192e+00,1.975859678745269798e+00,2.157387246300051853e+00,5.741510548777831353e-03,2.008872644579598354e+00,2.305901848020505351e+00,2.170935061513801667e+00,5.763290725766875323e-03,2.022139034510033628e+00,2.319731088517569706e+00
2.121539888279284192e+00,1.862691101710001629e+00,2.003054431122384571e+00,5.754526730514171115e-03,1.854371581109536038e+00,2.151737281135233104e+00,1.993396563481679262e+00,5.054243876736913034e-03,1.854053880584899394e+00,2.132739246378458908e+00
2.121539888279284192e+00,1.929488714536031102e+00,2.082988262174837679e+00,6.495302846535510634e-03,1.925025116424790017e+00,2.240951407924885341e+00,2.071177156697594945e+00,6.224944992550688824e-03,1.916536448333391096e+00,2.225817865061798795e+00
2.121539888279284192e+00,1.884920933246612584e+00,2.037439119901578444e+00,5.965645239566090378e-03,1.886053444382667088e+00,2.188824795420489799e+00,2.048631356771972722e+00,6.028470297297507975e-03,1.896450636921861221e+00,2.200812076622084223e+00
2.121539888279284192e+00,1.938633699774742203e+00,2.125609923767902920e+00,6.016746493092070547e-03,1.973577251858663395e+00,2.277642595677142445e+00,2.142388476629689897e+00,5.985537738787000302e-03,1.990750612699455857e+00,2.294026340559923938e+00
2.121539888279284192e+00,2.054105256557464454e+00,2.220486578824924617e+00,5.337534467254522949e-03,2.077292052360380836e+00,2.363681105289468398e+00,2.173440051825112906e+00,4.498397042169081927e-03,2.041982674408717280e+00,2.304897429241508533e+00
2.121539888279284192e+00,1.911859243710835710e+00,2.084435221167993735e+00,7.155870017658728585e-03,1.918634164899229999e+00,2.250236277436757693e+00,2.068257191069306611e+00,5.538107896666090782e-03,1.922397000147203272e+00,2.214117381991409950e+00
2.121539888279284192e+00,1.987423242410023994e+00,2.162320720403712482e+00,5.586306114163920589e-03,2.015827193010273799e+00,2.308814247797151165e+00,2.168390918284620827e+00,5.093685910593234202e-03,2.028505594557880265e+00,2.308276242011361390e+00
2.121539888279284192e+00,1.892202674508094873e+00,2.018555363315234885e+00,5.403934285061039004e-03,1.874472907931206578e+00,2.162637818699263192e+00,2.037573771870255346e+00,5.620488484768539419e-03,1.890632734160952344e+00,2.184514809579558570e+00
2.121539888279284192e+00,1.802998178919156480e+00,1.998216323621629487e+00,5.933227324441521511e-03,1.847242530897280854e+00,2.149190116345978119e+00,2.000752617685598533e+00,5.543171490715760076e-03,1.854825760669031265e+00,2.146679474702165802e+00
2.121539888279284192e+00,2.081401742180188474e+00,2.213920085542596894e+00,7.197148353413613912e-03,2.047641508706993463e+00,2.380198662378200325e+00,2.235570429373888945e+00,6.065643253868460878e-03,2.082921239647703260e+00,2.388219619100074631e+00
2.121539888279284192e+00,2.049517258564631295e+00,2.215507304637496233e+00,5.536800311591444194e-03,2.069664334025232311e+00,2.361350275249760156e+00,2.238033234372267533e+00,5.588955647023876802e-03,2.091504970840596389e+00,2.384561497903938676e+00
2.121539888279284192e+00,1.855529168923695904e+00,1.991647307331647632e+00,5.339103279915617152e-03,1.848431738484808129e+00,2.134862876178487134e+00,2.011811523857455430e+00,5.077534937153726016e-03,1.872148149221977809e+00,2.151474898492932830e+00
2.121539888279284192e+00,1.899994299729665048e+00,1.987912001278029805e+00,8.243730897621644876e-03,1.809953813446440130e+00,2.165870189109619481e+00,2.035253479207675298e+00,7.102681386425406876e-03,1.870069760839030204e+00,2.200437197576320170e+00
2.121539888279284192e+00,2.002050718744595947e+00,2.233717671110627023e+00,1.008755071168831660e-02,2.036861543916115291e+00,2.430573798305138755e+00,2.204038773090962522e+00,6.306767108721624167e-03,2.048385066020218304e+00,2.359692480161706740e+00
2.121539888279284192e+00,1.947858152548472166e+00,2.125638197901701609e+00,8.818869159887936238e-03,1.941576882670538851e+00,2.309699513132864368e+00,2.150025837090041136e+00,7.734181451656121919e-03,1.977655214695497987e+00,2.322396459484584064e+00
