truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,2.126105070114135742e+00,2.266111913019152713e+00,5.980623632845921515e-03,2.114536308953257837e+00,2.417687517085047588e+00,2.284904562215653634e+00,6.277042274844594170e-03,2.129618099177039259e+00,2.440191025254268009e+00
2.121539888279284192e+00,1.898918390274047852e+00,2.085821229483144634e+00,6.229848357092627673e-03,1.931119628170788971e+00,2.240522830795500298e+00,2.076256064641853971e+00,6.299953550529376924e-03,1.920686461056469563e+00,2.231825668227238602e+00
2.121539888279284192e+00,1.981395006179809570e+00,2.116813841897650761e+00,6.524921869016438170e-03,1.958490944463282313e+00,2.275136739332019431e+00,2.106648888491757798e+00,5.980376488736244105e-03,1.955076416323724642e+00,2.258221360659790733e+00
2.121539888279284192e+00,1.931362032890319824e+00,2.012366773925059249e+00,6.349323704043612938e-03,1.856188792309679370e+00,2.168544755540439350e+00,2.034190268907610566e+00,6.313963436214387222e-03,1.878447782936180088e+00,2.189932754879040822e+00
2.121539888279284192e+00,2.023801088333129883e+00,2.125078165446278700e+00,5.505736856495890494e-03,1.979644886215166544e+00,2.270511444677390855e+00,2.131400676963760787e+00,6.215411160483893215e-03,1.976878434182616440e+00,2.285922919744905357e+00
2.121539888279284192e+00,1.931450963020324707e+00,2.122333587266811428e+00,6.897536644098348560e-03,1.959552824361705747e+00,2.285114350171916886e+00,2.128207554281206448e+00,6.065282132249344253e-03,1.975562908652055416e+00,2.280852199910357481e+00
2.121539888279284192e+00,1.983925580978393555e+00,2.060337062529470131e+00,6.423894139849348553e-03,1.903244632006401149e+00,2.217429493052539335e+00,2.097861017648573689e+00,6.676511029597433436e-03,1.937709574410301450e+00,2.258012460886845929e+00
2.121539888279284192e+00,1.903600096702575684e+00,2.067701086959991219e+00,5.142849706293871163e-03,1.927142304126265193e+00,2.208259869793717023e+00,2.098005939146165399e+00,5.789721873195692245e-03,1.948869104165438459e+00,2.247142774126892117e+00
2.121539888279284192e+00,2.011751890182495117e+00,2.092282590059072245e+00,4.810928120776897937e-03,1.956335315467867098e+00,2.228229864650277392e+00,2.106633551622330458e+00,5.612125096976175280e-03,1.959801880064237611e+00,2.253465223180423305e+00
2.121539888279284192e+00,1.954637050628662109e+00,2.097544742321810318e+00,6.373674923706303466e-03,1.941067556806125305e+00,2.254021927837495554e+00,2.124302300464654625e+00,6.291082402721553078e-03,1.968842266506421135e+00,2.279762334422888337e+00
2.121539888279284192e+00,1.998043894767761230e+00,2.141058407087347071e+00,6.207934384311902636e-03,1.986629132884647486e+00,2.295487681290046655e+00,2.151955636331168709e+00,5.959151346269900111e-03,2.000652378561118105e+00,2.303258894101219312e+00
2.121539888279284192e+00,1.976784467697143555e+00,2.109185082464498873e+00,6.034673317725247101e-03,1.956926089241197708e+00,2.261444075687800037e+00,2.089699636186927556e+00,6.035412477091145651e-03,1.937431318497418120e+00,2.241967953876436770e+00
2.121539888279284192e+00,2.150858879089355469e+00,2.280682253974286144e+00,4.746218479446775648e-03,2.145652357615580819e+00,2.415712150332991470e+00,2.308705063512472844e+00,5.404082451529723490e-03,2.164620632896959940e+00,2.452789494127985748e+00
2.121539888279284192e+00,1.946977972984313965e+00,2.091308845909609193e+00,5.382113670368466468e-03,1.947517580959030603e+00,2.235100110860187783e+00,2.071039706000602276e+00,6.212232886432784637e-03,1.916556976038576554e+00,2.225522435962627998e+00
2.121539888279284192e+00,1.947700738906860352e+00,2.124946109439848740e+00,6.954000592965219572e-03,1.961500434434557905e+00,2.288391784445139798e+00,2.134192455708852965e+00,7.775397023582156057e-03,1.961363160721593335e+00,2.307021750696112594e+00
2.121539888279284192e+00,1.832661628723144531e+00,1.922694546735563614e+00,6.821543261986980078e-03,1.760812983253957853e+00,2.084576110217169376e+00,1.897777664517317886e+00,6.861059169969995625e-03,1.735427903484673573e+00,2.060127425549962421e+00
2.121539888279284192e+00,1.796399950981140137e+00,1.961301213000676169e+00,6.054698958974934035e-03,1.808789798605562327e+00,2.113812627395789789e+00,1.990182740638120507e+00,6.997583423438115229e-03,1.826225683822990220e+00,2.154139797453250793e+00
2.121539888279284192e+00,1.900547385215759277e+00,1.985075755785877583e+00,5.098202786262514760e-03,1.845128423465085987e+00,2.125023088106669178e+00,2.007290052872893860e+00,5.459964981508286415e-03,1.862462564208061222e+00,2.152117541537726719e+00
2.121539888279284192e+00,1.951287627220153809e+00,2.113851044396425127e+00,5.619498938494118905e-03,1.966922942516223127e+00,2.260779146276627127e+00,2.114671313002279174e+00,5.985644538308720550e-03,1.963032096246300151e+00,2.266310529758257974e+00
2.121539888279284192e+00,1.916099071502685547e+00,2.039390555100295988e+00,4.775328601863871800e-03,1.903947200309740628e+00,2.174833909890851125e+00,2.082359017351269603e+00,5.809646855731770074e-03,1.932965780017783963e+00,2.231752254684755243e+00
2.121539888279284192e+00,1.905315399169921875e+00,2.003510558498903471e+00,5.257591486724746271e-03,1.861392426455867666e+00,2.145628690541939498e+00,2.015158753168925898e+00,5.170838548115925561e-03,1.874218009001590968e+00,2.156099497336260828e+00
2.121539888279284192e+00,1.942970514297485352e+00,2.089569911230922727e+00,5.604414534151552253e-03,1.942839141198197117e+00,2.236300681263648116e+00,2.113123093663435981e+00,7.576791391880764205e-03,1.942515351133827561e+00,2.283730836193044400e+00
2.121539888279284192e+00,2.065182924270629883e+00,2.174612416486368716e+00,6.404538774986081803e-03,2.017756826346946308e+00,2.331468006625791123e+00,2.176509284458475690e+00,7.595457653631123955e-03,2.005691515704199457e+00,2.347327053212751924e+00
2.121539888279284192e+00,2.164838314056396484e+00,2.279937039818998201e+00,6.543237995383764487e-03,2.121392083787384752e+00,2.438481995850611650e+00,2.270067551550151386e+00,6.800815525295320248e-03,2.108432119413585326e+00,2.431702983686717445e+00
2.121539888279284192e+00,1.849372744560241699e+00,2.056002280049915143e+00,6.288918052241770050e-03,1.900568990213110876e+00,2.211435569886719410e+00,2.008889117509896849e+00,6.475452937329728188e-03,1.851167527345310093e+00,2.166610707674483827e+00
2.121539888279284192e+00,1.913957953453063965e+00,2.081174466102632348e+00,7.632829509520517620e-03,1.909936976504781558e+00,2.252411955700483137e+00,2.069068459854110031e+00,7.609883249788954723e-03,1.898088556086476419e+00,2.240048363621743643e+00
2.121539888279284192e+00,2.054365158081054688e+00,2.135982595223106184e+00,5.488839549965370684e-03,1.990772657494495501e+00,2.281192532951716867e+00,2.141855350856939122e+00,5.522264691625166678e-03,1.996203944961399523e+00,2.287506756752478942e+00
2.121539888279284192e+00,1.740050792694091797e+00,1.894650309496259011e+00,5.743283969760857623e-03,1.746112773168792875e+00,2.043187845823724924e+00,1.875492096754260318e+00,6.474400119733847783e-03,1.717783328767285234e+00,2.033200864741235403e+00
2.121539888279284192e+00,1.847595691680908203e+00,2.015853197698610266e+00,6.381228777768684600e-03,1.859283314027847522e+00,2.172423081369372788e+00,2.011906032674101841e+00,6.874839449699502239e-03,1.849393315541055349e+00,2.174418749807148554e+00
2.121539888279284192e+00,2.031117916107177734e+00,2.179910190308139040e+00,5.104482612590822282e-03,2.039876692870815411e+00,2.319943687745462668e+00,2.199248992678514814e+00,6.106955425458858965e-03,2.046080849899271303e+00,2.352417135457758324e+00
2.121539888279284192e+00,2.171382427215576172e+00,2.218999461534123974e+00,4.619136414858354515e-03,2.085789572819660265e+00,2.352209350248587683e+00,2.242450694338339545e+00,5.940891070962525146e-03,2.091379429240672216e+00,2.393521959436006874e+00
2.121539888279284192e+00,1.964862227439880371e+00,2.027934830491061824e+00,4.992665184136747814e-03,1.889443594048535457e+00,2.166426066933587968e+00,2.052978094952491617e+00,5.476923683337787258e-03,1.907925862905168524e+00,2.198030326999814488e+00
2.121539888279284192e+00,2.104565858840942383e+00,2.212339669207587622e+00,5.926354375528756525e-03,2.061453344548819011e+00,2.363225993866356234e+00,2.240696328296946760e+00,5.502377552454998551e-03,2.095307423611922459e+00,2.386085232981971060e+00
2.121539888279284192e+00,2.096933603286743164e+00,2.256583069848426160e+00,7.041025247213154696e-03,2.092117868089227173e+00,2.421048271607625146e+00,2.264048364522043943e+00,7.147430700746392092e-03,2.098345106316336306e+00,2.429751622727751581e+00
2.121539888279284192e+00,1.918521165847778320e+00,1.943375403567138893e+00,7.569327053225828085e-03,1.772851719559103367e+00,2.113899087575174196e+00,1.952742342476880388e+00,8.472006686685486926e-03,1.772337074018415004e+00,2.133147610935345995e+00
2.121539888279284192e+00,1.970675826072692871e+00,2.105569709769331332e+00,5.577125494385408964e-03,1.959196606709954436e+00,2.251942812828708451e+00,2.119899903418086762e+00,5.734713559342792359e-03,1.971473235970585103e+00,2.268326570865588643e+00
2.121539888279284192e+00,1.934032201766967773e+00,2.020701515625370259e+00,5.589203103138796168e-03,1.874170008293267742e+00,2.167233022957472777e+00,2.044424474010604786e+00,6.164786669697090542e-03,1.890532809290554672e+00,2.198316138730655123e+00
2.121539888279284192e+00,1.787937283515930176e+00,1.967324226368297957e+00,6.500917603809528572e-03,1.809292821050257905e+00,2.125355631686338231e+00,1.996491030165675085e+00,6.201266484246092427e-03,1.842144713961239022e+00,2.150837346370111369e+00
2.121539888279284192e+00,1.934215545654296875e+00,2.052571895734332852e+00,5.394111287692610231e-03,1.908620452800265932e+00,2.196523338668399994e+00,2.059249966611518268e+00,5.550145469550576624e-03,1.913231341649407780e+00,2.205268591573628978e+00
2.121539888279284192e+00,1.794195413589477539e+00,1.918380385663117416e+00,5.183838238949490911e-03,1.777262587427925311e+00,2.059498183898309520e+00,1.928392076666505028e+00,5.175109505988877319e-03,1.787393138095298539e+00,2.069391015237711517e+00
2.121539888279284192e+00,1.917821288108825684e+00,2.095309013093982653e+00,6.980193929991725110e-03,1.931555805487364497e+00,2.259062220700601031e+00,2.103356203546565162e+00,6.851154475308912813e-03,1.941123669718276767e+00,2.265588737374853334e+00
2.121539888279284192e+00,1.953223824501037598e+00,2.073774259716623547e+00,6.332813880120891602e-03,1.917799461105205605e+00,2.229749058328041489e+00,2.106033650850005934e+00,6.851481180139864374e-03,1.943797248949491241e+00,2.268270052750520627e+00
2.121539888279284192e+00,1.899921894073486328e+00,2.066214458658328201e+00,5.418257548036201597e-03,1.921941182558643435e+00,2.210487734758013190e+00,2.077064867562558703e+00,6.253854563684699275e-03,1.922065487912667514e+00,2.232064247212449892e+00
2.121539888279284192e+00,1.921597123146057129e+00,1.937554696003701338e+00,5.677027089688238028e-03,1.789876440096657362e+00,2.085232951910745314e+00,1.944013102309452234e+00,6.546796920099583021e-03,1.785425035140908445e+00,2.102601169477996024e+00
2.121539888279284192e+00,1.813647031784057617e+00,1.906611729800412380e+00,6.174875438330665843e-03,1.752594193513497656e+00,2.060629266087326883e+00,1.902340209500679169e+00,7.470259454922631610e-03,1.732936110606848379e+00,2.071744308394509737e+00
2.121539888279284192e+00,2.008079051971435547e+00,2.070117072062795938e+00,6.070502024201371999e-03,1.917406756182787442e+00,2.222827387942804656e+00,2.125448856748164861e+00,5.680449059339269351e-03,1.977726099170472374e+00,2.273171614325857348e+00
2.121539888279284192e+00,2.122769117355346680e+00,2.241447053102592513e+00,7.456410410018536605e-03,2.072200055400632568e+00,2.410694050804552457e+00,2.275428650604888414e+00,7.862339616449633833e-03,2.101635774253316047e+00,2.449221526956460782e+00
2.121539888279284192e+00,1.703537464141845703e+00,1.911120447231789976e+00,5.689207134264098915e-03,1.763283854579669629e+00,2.058957039883910323e+00,1.934555738913495304e+00,7.179514005876333829e-03,1.768480993678181123e+00,2.100630484148809707e+00
2.121539888279284192e+00,2.014011621475219727e+00,2.161325070524750647e+00,7.590368984114579873e-03,1.990564532081658955e+00,2.332085608967842116e+00,2.122151105050441799e+00,7.172426927949167134e-03,1.956158348321693108e+00,2.288143861779190491e+00
2.121539888279284192e+00,1.928432703018188477e+00,2.044379786028134749e+00,5.020347153891114786e-03,1.905505146059607302e+00,2.183254425996662196e+00,2.064946763853890754e+00,5.582755830325058718e-03,1.918499794620052601e+00,2.211393733087728908e+00
2.121539888279284192e+00,1.879939436912536621e+00,2.059071092304953776e+00,6.260924748559269434e-03,1.903984121498037529e+00,2.214158063111869801e+00,2.078233642179009077e+00,6.222995159635779684e-03,1.923617154684121200e+00,2.232850129673896955e+00
2.121539888279284192e+00,2.039366006851196289e+00,2.124837172364219651e+00,5.118654916899633735e-03,1.984609412171162157e+00,2.265064932557276922e+00,2.121596411313591446e+00,5.543905140173024243e-03,1.975659897765786432e+00,2.267532924861396459e+00
