truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,1.967246532440185547e+00,2.039170708071962324e+00,3.087988358009715901e-03,1.930254152507024701e+00,2.148087263636899724e+00,2.067436154062129550e+00,3.550117464024019065e-03,1.950653744214607244e+00,2.184218563909651856e+00
2.121539888279284192e+00,2.093068838119506836e+00,2.208155038104354428e+00,3.477269819561265921e-03,2.092577013641109041e+00,2.323733062567599816e+00,2.196418423623180960e+00,3.494773888095637458e-03,2.080549862880811229e+00,2.312286984365550691e+00
2.121539888279284192e+00,1.997899413108825684e+00,2.101168913800874005e+00,3.081675178418773545e-03,1.992363751398469773e+00,2.209974076203278237e+00,2.110417848445447664e+00,3.258774718595512394e-03,1.998529918091201951e+00,2.222305778799693154e+00
2.121539888279284192e+00,1.989638686180114746e+00,2.089495516660623942e+00,3.914772700314804801e-03,1.966861953532378582e+00,2.212129079788869301e+00,2.136662649324044150e+00,3.812058874249055207e-03,2.015648578359898746e+00,2.257676720288189554e+00
2.121539888279284192e+00,2.093276262283325195e+00,2.152159875157822810e+00,2.679143396658914631e-03,2.050709408068681849e+00,2.253610342246963771e+00,2.174588340652317875e+00,3.100590429323557030e-03,2.065449767300411743e+00,2.283726914004224007e+00
2.121539888279284192e+00,1.940168023109436035e+00,2.016832854437344835e+00,3.333315970429496632e-03,1.903672496396191738e+00,2.129993212478497711e+00,2.048013089764140204e+00,3.572413938620479928e-03,1.930864528583883022e+00,2.165161650944397387e+00
2.121539888279284192e+00,1.998563528060913086e+00,2.082336053020539257e+00,3.232949194789154577e-03,1.970892355905350168e+00,2.193779750135728346e+00,2.058664498778319807e+00,3.251058844870267309e-03,1.946909106700560832e+00,2.170419890856078560e+00
2.121539888279284192e+00,1.927638411521911621e+00,2.029209289721686460e+00,3.600969652755293699e-03,1.911593453126333664e+00,2.146825126317039256e+00,2.015690967710314307e+00,3.472553359171509993e-03,1.900191353059038191e+00,2.131190582361590202e+00
2.121539888279284192e+00,2.112435102462768555e+00,2.220206065734744438e+00,3.523692614650412742e-03,2.103859095217927688e+00,2.336553036251561188e+00,2.219997657837007754e+00,3.489524575702088356e-03,2.104216149771094280e+00,2.335779165902921228e+00
2.121539888279284192e+00,1.990122437477111816e+00,2.093040121667774756e+00,3.452094173379566949e-03,1.977881253244822002e+00,2.208198990090727509e+00,2.097251050009443674e+00,3.855581178566230231e-03,1.975548130342000830e+00,2.218953969676886295e+00
2.121539888279284192e+00,1.935934305191040039e+00,2.078214127717161297e+00,3.296780250302081168e-03,1.965675640924595680e+00,2.190752614509726914e+00,2.065038959736804625e+00,3.385011275650956757e-03,1.951004494260174749e+00,2.179073425213434501e+00
2.121539888279284192e+00,2.011519193649291992e+00,2.075827790246500548e+00,3.285181743627594696e-03,1.963487440477062140e+00,2.188168140015938956e+00,2.078769495793058919e+00,3.461484508774733630e-03,1.963454107015545791e+00,2.194084884570572047e+00
2.121539888279284192e+00,1.940662860870361328e+00,2.122517893760398788e+00,3.876871606213386830e-03,2.000479416375479769e+00,2.244556371145317808e+00,2.121285615525430490e+00,3.711299378991003012e-03,2.001881563272871478e+00,2.240689667777989502e+00
2.121539888279284192e+00,2.025501489639282227e+00,2.131812106827750686e+00,2.906733086025517325e-03,2.026140417983123942e+00,2.237483795672377429e+00,2.141997965092749645e+00,3.139844448594337600e-03,2.032170707848839353e+00,2.251825222336659937e+00
2.121539888279284192e+00,2.047831058502197266e+00,2.160241341916314450e+00,3.291705017196546942e-03,2.047789512255511646e+00,2.272693171577117255e+00,2.179934982601350768e+00,3.583372031619681299e-03,2.062606887088510366e+00,2.297263078114191170e+00
2.121539888279284192e+00,1.969113230705261230e+00,2.100298467037199579e+00,3.966658404383778709e-03,1.976854897231880237e+00,2.223742036842518921e+00,2.107837123899313880e+00,3.946692751943075422e-03,1.984704614480133689e+00,2.230969633318494072e+00
2.121539888279284192e+00,1.956005334854125977e+00,2.086356356333348039e+00,2.948323673288244257e-03,1.979931358220573312e+00,2.192781354446122766e+00,2.096921598912053764e+00,3.324366861878085000e-03,1.983913246403972153e+00,2.209929951420135374e+00
2.121539888279284192e+00,1.911391258239746094e+00,2.035987868520294342e+00,3.125491128648901201e-03,1.926411928096232185e+00,2.145563808944356499e+00,2.045508693728703253e+00,3.609153802165430362e-03,1.927759276547985401e+00,2.163258110909421106e+00
2.121539888279284192e+00,1.934132814407348633e+00,2.037102964857514742e+00,3.114106924406740990e-03,1.927726764700437911e+00,2.146479165014591572e+00,2.062972491715783452e+00,3.547913106562457404e-03,1.946226344069831748e+00,2.179718639361734933e+00
2.121539888279284192e+00,2.048119783401489258e+00,2.175467240021761395e+00,3.493005399133861794e-03,2.059627999946074262e+00,2.291306480097448528e+00,2.178977628628989027e+00,3.562645798363183423e-03,2.061989338193612298e+00,2.295965919064365757e+00
2.121539888279284192e+00,1.967839360237121582e+00,2.085689120566164512e+00,3.506460656895468014e-03,1.969626985226814453e+00,2.201751255905514792e+00,2.089318399550970540e+00,3.226387494543732620e-03,1.977987854779828858e+00,2.200648944322112222e+00
2.121539888279284192e+00,1.919344782829284668e+00,1.995459290420217746e+00,3.109250423222429359e-03,1.886168410536069651e+00,2.104750170304365842e+00,2.003251334325203636e+00,3.565217548292017556e-03,1.886220826620936153e+00,2.120281842029471342e+00
2.121539888279284192e+00,1.993078947067260742e+00,2.165040722285664909e+00,2.961201403792444471e-03,2.058383555096539475e+00,2.271697889474790344e+00,2.176078364182808311e+00,3.155496823769992146e-03,2.065977698434617871e+00,2.286179029930998752e+00
2.121539888279284192e+00,2.016211748123168945e+00,2.123017486850676594e+00,3.043167236132066425e-03,2.014894264301934079e+00,2.231140709399419109e+00,2.142455165927724003e+00,3.019150843278357258e-03,2.034759437695179418e+00,2.250150894160268589e+00
2.121539888279284192e+00,1.980858922004699707e+00,2.027819896545398404e+00,3.324693269930619616e-03,1.914805996224395956e+00,2.140833796866400629e+00,2.067887693938120552e+00,3.293635088309465695e-03,1.955402901387084391e+00,2.180372486489156714e+00
2.121539888279284192e+00,1.936324000358581543e+00,2.078691517724375437e+00,4.045909475646747126e-03,1.954020888297695491e+00,2.203362147151055161e+00,2.111411686054590842e+00,3.503598423115366223e-03,1.995396929655932627e+00,2.227426442453249056e+00
2.121539888279284192e+00,1.979267358779907227e+00,2.102476369808069734e+00,3.516590282679432806e-03,1.986246712534457615e+00,2.218706027081681853e+00,2.092172377011282780e+00,3.764563752659620243e-03,1.971914536883425884e+00,2.212430217139139899e+00
