truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
4.016067028045654297e+00,3.917117357254028320e+00,4.009047186028005250e+00,8.104717063138574318e+00,3.804889986608939623e+00,4.213204385447070877e+00
4.050838947296142578e+00,4.118394374847412109e+00,4.043248617912984066e+00,1.173471152946710738e+01,3.797590013991082092e+00,4.288907221834885597e+00
4.099163055419921875e+00,3.917177915573120117e+00,3.947995265735130488e+00,6.492647364528051135e+00,3.765266602013177977e+00,4.130723929457082555e+00
4.273678302764892578e+00,4.085123538970947266e+00,4.121677169449274203e+00,8.664076183360526429e+00,3.910592398460213115e+00,4.332761940438335735e+00
4.162439823150634766e+00,4.184231758117675781e+00,4.191267730997329188e+00,1.322424897346605910e+01,3.930483528876894006e+00,4.452051933117764371e+00
4.003967761993408203e+00,3.990180015563964844e+00,3.987608589304980633e+00,1.732295459483372113e+01,3.689134418757588740e+00,4.286082759852372526e+00
3.990549325942993164e+00,3.676648616790771484e+00,3.680478991876293016e+00,6.066992016130439147e+00,3.503841665642665859e+00,3.857116318109920172e+00
3.853653192520141602e+00,3.671373605728149414e+00,3.704485454239180520e+00,1.056815147596651094e+01,3.471356999406712163e+00,3.937613909071648877e+00
1.046603775024414062e+01,1.024285984039306641e+01,1.022617536769052116e+01,7.426408686287157934e+02,8.271902542057725682e+00,1.218044819332331663e+01
4.586000442504882812e+00,4.690575599670410156e+00,4.732547676254084124e+00,8.655836209094910316e+01,4.065356513290625529e+00,5.399738839217542719e+00
3.947785377502441406e+00,3.902358770370483398e+00,3.943742321204011247e+00,1.047369162019370137e+01,3.711658074947852715e+00,4.175826567460170224e+00
4.161348342895507812e+00,3.949054956436157227e+00,4.141282877240235472e+00,2.364847866374461915e+01,3.792546401712304949e+00,4.490019352768165994e+00
1.264884281158447266e+01,1.257018852233886719e+01,1.256480756473805194e+01,1.271937505166066103e+03,1.000723092145382154e+01,1.512238420802228234e+01
3.861299991607666016e+00,3.900291919708251953e+00,3.788948292567550169e+00,7.972379105836591151e+00,3.586464744810144545e+00,3.991431840324955793e+00
3.907582044601440430e+00,4.142219066619873047e+00,4.114532877971765146e+00,1.104247299818106143e+01,3.876230188701858648e+00,4.352835567241671200e+00
4.532751560211181641e+00,4.523945331573486328e+00,4.483963288082496668e+00,7.091871790287560984e+00,4.292988424588095597e+00,4.674938151576897738e+00
3.636982202529907227e+00,3.798271179199218750e+00,3.814283717039133048e+00,2.680585551245976461e+01,3.442995979042800858e+00,4.185571455035464794e+00
3.768761873245239258e+00,2.858958005905151367e+00,3.495267545638173878e+00,2.624778217022959836e+01,3.127865071104619865e+00,3.862670020171727892e+00
3.941148042678833008e+00,3.850567340850830078e+00,3.913531971136774867e+00,1.757238271296652954e+01,3.612916659646849382e+00,4.214147282626700353e+00
4.235950946807861328e+00,4.068151950836181641e+00,4.144025848924719924e+00,9.211870714291574558e+00,3.926370328087241290e+00,4.361681369762198557e+00
3.155158281326293945e+00,3.074897527694702148e+00,3.028436748426920122e+00,9.228167861840051955e+01,2.339540985924611238e+00,3.717332510929229006e+00
4.087269783020019531e+00,4.051412105560302734e+00,4.095174144095413027e+00,1.466244096980157785e+01,3.820575171002746018e+00,4.369773117188080036e+00
4.312510013580322266e+00,4.244515419006347656e+00,4.250101490899474754e+00,1.566643183814306006e+01,3.966256772737128511e+00,4.533946209061821442e+00
3.835491657257080078e+00,3.766849517822265625e+00,3.666850725352175822e+00,4.249902948925669932e+01,3.199346783847370812e+00,4.134354666856980387e+00
4.595643520355224609e+00,4.681302547454833984e+00,4.623714164820926342e+00,1.606818540369294368e+01,4.336252995691136647e+00,4.911175333950716038e+00
4.412825107574462891e+00,4.253597259521484375e+00,4.475829631793019736e+00,2.808714573149985085e+02,3.273981551072502771e+00,5.677677712513537145e+00
3.755508899688720703e+00,3.808042764663696289e+00,3.837382728532530152e+00,1.075577611065576100e+01,3.602193922591387931e+00,4.072571534473672372e+00
1.046998977661132812e+01,1.092566204071044922e+01,1.027947384762814842e+01,1.894094478962613266e+03,7.158453575773712885e+00,1.340049411948258395e+01
3.745059013366699219e+00,3.731491327285766602e+00,3.731889197913932144e+00,1.627425739713444131e+01,3.442590578744531005e+00,4.021187817083332838e+00
4.384593009948730469e+00,4.134329319000244141e+00,4.287478748773911441e+00,1.583068228764834728e+01,4.002149963866112437e+00,4.572807533681710446e+00
4.335573196411132812e+00,4.235710620880126953e+00,4.235309023830743591e+00,1.593431947778254987e+01,3.949047795396378735e+00,4.521570252265108003e+00
4.022887229919433594e+00,3.728138446807861328e+00,4.152817189523581476e+00,1.100909380045995434e+01,3.914874943643141592e+00,4.390759435404021360e+00
4.156628608703613281e+00,4.247553348541259766e+00,4.263166319848261665e+00,1.692489572741471449e+01,3.968141352269990207e+00,4.558191287426533123e+00
6.789415359497070312e+00,7.007556438446044922e+00,6.935624106535846600e+00,1.452832195978412301e+03,4.202222166934839187e+00,9.669026046136853125e+00
3.755501270294189453e+00,3.561755418777465820e+00,3.577532077024733415e+00,3.899956545948159459e+01,3.129689217157500369e+00,4.025374936891966904e+00
4.881726741790771484e+00,4.931583881378173828e+00,4.893535657056483856e+00,3.438612315312065704e+01,4.473014958113300743e+00,5.314056355999666970e+00
3.343385219573974609e+00,3.118764877319335938e+00,3.111044720335538916e+00,1.071706332562524011e+02,2.368652061159894906e+00,3.853437379511182925e+00
4.042727947235107422e+00,4.063289642333984375e+00,4.058212149368226385e+00,1.159120682739605535e+01,3.814060255142557754e+00,4.302364043593895460e+00
6.221156597137451172e+00,5.942312240600585938e+00,6.301716202001425238e+00,8.969080601201481784e+01,5.622559901663402471e+00,6.980872502339448005e+00
4.390372753143310547e+00,4.184841156005859375e+00,4.184111824609343167e+00,2.360117579632334994e+01,3.835724303720531747e+00,4.532499345498154142e+00
4.229770660400390625e+00,4.183650016784667969e+00,4.235141861364693838e+00,7.571338925334790027e+00,4.037816860131020924e+00,4.432466862598366752e+00
3.993759870529174805e+00,4.072919368743896484e+00,4.045840494459762127e+00,6.412141974323302129e+00,3.864248233773045715e+00,4.227432755146478982e+00
4.499260902404785156e+00,4.350069046020507812e+00,4.362738527201145189e+00,1.264553282277712576e+01,4.107724343035223491e+00,4.617752711367066887e+00
3.781438350677490234e+00,3.869739294052124023e+00,3.971114534568328303e+00,1.710557933764030381e+01,3.674518961697302188e+00,4.267710107439354417e+00
3.298717021942138672e+00,3.207829952239990234e+00,3.257083093948963892e+00,2.873653363296357810e+01,2.872656910177706191e+00,3.641509277720221593e+00
4.826760292053222656e+00,4.902000427246093750e+00,4.874130390542156910e+00,2.141179788355407609e+01,4.542295278124435676e+00,5.205965502959878144e+00
5.066412925720214844e+00,4.988604545593261719e+00,4.969076416776383454e+00,3.692812081797882229e+01,4.533289312584612318e+00,5.404863520968154589e+00
3.841778993606567383e+00,3.790997266769409180e+00,3.783776425426280898e+00,1.051170167331643945e+01,3.551271432322427923e+00,4.016281418530134317e+00
4.395375251770019531e+00,4.204981327056884766e+00,4.259639340012279618e+00,1.978550453456004377e+01,3.940655020212071591e+00,4.578623659812487645e+00
3.904749631881713867e+00,3.773864269256591797e+00,3.823491655419944735e+00,1.011377012924685737e+01,3.595429980395080438e+00,4.051553330444809475e+00
4.306119918823242188e+00,4.370473384857177734e+00,4.363809589434033853e+00,9.119176852988426063e+00,4.147251909713740581e+00,4.580367269154327126e+00
4.350611209869384766e+00,4.147205829620361328e+00,4.184257283825657758e+00,1.713462557147285636e+01,3.887409999799068316e+00,4.481104567852247200e+00
5.791394233703613281e+00,1.502681541442871094e+01,4.500826249411828073e+00,4.746892423289493763e+02,2.938396623331449575e+00,6.063255875492206570e+00
4.431848049163818359e+00,4.300299644470214844e+00,4.277378455042238237e+00,5.044621389757619312e+01,3.768035786930213682e+00,4.786721123154262791e+00
3.740272283554077148e+00,3.699604988098144531e+00,3.710543340297152159e+00,8.940714381479207162e+00,3.496115149629508423e+00,3.924971530964795896e+00
4.031430244445800781e+00,3.791186571121215820e+00,3.815458395221674959e+00,6.294934664336745200e+00,3.635533448030236148e+00,3.995383342413113770e+00
4.085419654846191406e+00,4.200326919555664062e+00,4.197848274204167396e+00,7.938211533102720985e+00,3.995799088622205897e+00,4.399897459786128451e+00
4.524155616760253906e+00,4.283479690551757812e+00,4.269586005064934575e+00,1.786380312944846693e+01,3.966488241154670913e+00,4.572683768975197793e+00
4.242028713226318359e+00,3.985673189163208008e+00,3.955852160636096126e+00,6.189786464310790493e+00,3.777436240558288638e+00,4.134268080713903615e+00
4.014540195465087891e+00,3.907872676849365234e+00,3.894666427038260714e+00,1.395625907662378893e+02,3.047477478391654948e+00,4.741855375684866480e+00
4.082437038421630859e+00,4.054433345794677734e+00,4.133626609874744950e+00,1.078402832985539561e+01,3.898129121045366574e+00,4.369124098704123327e+00
