truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
4.016067028045654297e+00,3.530743360519409180e+00,3.864377762019686191e+00,1.262474317727151352e+01,3.609573289669624430e+00,4.119182234369747952e+00
4.050838947296142578e+00,4.089774608612060547e+00,4.066501070529367823e+00,7.506855317824226326e+00,3.870018155251927716e+00,4.262983985806807929e+00
4.099163055419921875e+00,4.238022804260253906e+00,4.318980662509520840e+00,1.201022299868258081e+01,4.070454962315463554e+00,4.567506362703578127e+00
4.273678302764892578e+00,3.924055576324462891e+00,4.020584953088091495e+00,9.842403866970657944e+00,3.795603684507822262e+00,4.245566221668361173e+00
4.162439823150634766e+00,3.919949293136596680e+00,4.089476731243890661e+00,1.393205437456041551e+01,3.821804480442383412e+00,4.357148982045397467e+00
4.003967761993408203e+00,4.062891006469726562e+00,4.065501891768433573e+00,6.972485002007735133e+00,3.876141316264525738e+00,4.254862467272341853e+00
3.990549325942993164e+00,3.596951961517333984e+00,3.707458638235211712e+00,7.337799159699336826e+00,3.513200742153839595e+00,3.901716534316583829e+00
3.853653192520141602e+00,3.553263425827026367e+00,3.620316489807681837e+00,8.559244284681765791e+00,3.410512626394436531e+00,3.830120353220927143e+00
1.046603775024414062e+01,9.648000717163085938e+00,9.587633405105947304e+00,8.121674196388546534e+02,7.543926782467275771e+00,1.163134002774461884e+01
4.586000442504882812e+00,4.599110126495361328e+00,4.635218583405986692e+00,9.310146847006451765e+01,3.943269663133786906e+00,5.327167503678186478e+00
3.947785377502441406e+00,3.798556804656982422e+00,3.854451856270608268e+00,9.435578654665953025e+00,3.634169334257693063e+00,4.074734378283523029e+00
4.161348342895507812e+00,3.929528236389160156e+00,4.090577474017776716e+00,2.631914721059079199e+01,3.722675873609998298e+00,4.458479074425555133e+00
1.264884281158447266e+01,1.147445869445800781e+01,1.136921169278816635e+01,1.201832068856038177e+03,8.883117010756006238e+00,1.385530637482032645e+01
3.861299991607666016e+00,3.811826467514038086e+00,3.777728161295355935e+00,6.269884401868753621e+00,3.598161570491022143e+00,3.957294752099689727e+00
3.907582044601440430e+00,4.132535934448242188e+00,4.116642180598237388e+00,1.162428195436508105e+01,3.872142194817654204e+00,4.361142166378820129e+00
4.532751560211181641e+00,4.440974235534667969e+00,4.426027030112457794e+00,7.344171914770464937e+00,4.231684797481689131e+00,4.620369262743226457e+00
3.636982202529907227e+00,3.703186988830566406e+00,3.749049597975732340e+00,2.651459929265292814e+01,3.379784463125258487e+00,4.118314732826205748e+00
3.768761873245239258e+00,3.407134771347045898e+00,3.470864651230983089e+00,1.566142326049653732e+01,3.187065309449481187e+00,3.754663993012484990e+00
3.941148042678833008e+00,3.947937011718750000e+00,3.980152248687776506e+00,1.751929383148663177e+01,3.679991383332075650e+00,4.280313114043477363e+00
4.235950946807861328e+00,4.060602664947509766e+00,4.132555236551898936e+00,5.835775068310355529e+00,3.959316486089204723e+00,4.305793987014593149e+00
3.155158281326293945e+00,3.027538537979125977e+00,2.941003698198600969e+00,9.304170301827682010e+01,2.249276908035799938e+00,3.632730488361401999e+00
4.087269783020019531e+00,3.989775896072387695e+00,3.952316338760239578e+00,9.021876569164346549e+00,3.736917076754945555e+00,4.167715600765533601e+00
4.312510013580322266e+00,5.293908119201660156e+00,4.119598986395358153e+00,2.586125172431114549e+01,3.754911768954057205e+00,4.484286203836658657e+00
3.835491657257080078e+00,3.931661128997802734e+00,3.862683191969656704e+00,4.356881473220111900e+01,3.389331816846529399e+00,4.336034567092784009e+00
4.595643520355224609e+00,4.737453937530517578e+00,4.647546269616952053e+00,1.421250593121591521e+01,4.377193327644032905e+00,4.917899211589871200e+00
4.412825107574462891e+00,3.754249334335327148e+00,3.519832842232371917e+00,3.176248056634671570e+02,2.241767739740642362e+00,4.797897944724101471e+00
3.755508899688720703e+00,3.771696805953979492e+00,3.920312721218503604e+00,9.664689081514991287e+00,3.697371839711051322e+00,4.143253602725955886e+00
1.046998977661132812e+01,9.568053245544433594e+00,9.009029419082210666e+00,2.135262927818677781e+03,5.695266373828168582e+00,1.232279246433625275e+01
3.745059013366699219e+00,3.880473136901855469e+00,3.853930991901012515e+00,1.485771289210831902e+01,3.577509535156498277e+00,4.130352448645527197e+00
4.384593009948730469e+00,4.430181026458740234e+00,4.368574538167473875e+00,1.607628200986283318e+01,4.081040953681042360e+00,4.656108122653905390e+00
4.335573196411132812e+00,4.091632366180419922e+00,4.101815626915398916e+00,1.523686095215949621e+01,3.821889443698066380e+00,4.381741810132731452e+00
4.022887229919433594e+00,3.980383157730102539e+00,3.968410685586805542e+00,6.562091850198177312e+00,3.784707400395015409e+00,4.152113970778595231e+00
4.156628608703613281e+00,4.213627815246582031e+00,4.280017056294505906e+00,1.592001481082601799e+01,3.993884348910972548e+00,4.566149763678039264e+00
6.789415359497070312e+00,6.420716285705566406e+00,6.644921138767935886e+00,1.435569352772055481e+03,3.927807142628360282e+00,9.362035134907511491e+00
3.755501270294189453e+00,3.445240497589111328e+00,3.409859897385208782e+00,4.167566056712882272e+01,2.946906776054576405e+00,3.872813018715841160e+00
4.881726741790771484e+00,3.944361448287963867e+00,3.651204866036109387e+00,1.154890345457567520e+02,2.880538960970739026e+00,4.421870771101479747e+00
3.343385219573974609e+00,4.472101211547851562e+00,3.161578185654368767e+00,1.832232533271134400e+02,2.190875870189126218e+00,4.132280501119611316e+00
4.042727947235107422e+00,4.038861751556396484e+00,3.954729824704853680e+00,1.170156288402225364e+01,3.709418438902310822e+00,4.200041210507396094e+00
6.221156597137451172e+00,5.742407798767089844e+00,5.807524869854583827e+00,9.391223736307208014e+01,5.112569581496714477e+00,6.502480158212453176e+00
4.390372753143310547e+00,4.136394977569580078e+00,4.220150278898802121e+00,2.348777517113458302e+01,3.872600744522349814e+00,4.567699813275254428e+00
4.229770660400390625e+00,4.326722145080566406e+00,4.251964107310082674e+00,6.504050024048142475e+00,4.069075056106778554e+00,4.434853158513386795e+00
3.993759870529174805e+00,3.942590713500976562e+00,4.026059763256860435e+00,6.079053012759072949e+00,3.849246949364939052e+00,4.202872577148781374e+00
