truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
4.016067028045654297e+00,3.931419134140014648e+00,3.986798864208009885e+00,1.053413397584221300e+01,3.754045916829217955e+00,4.219551811586801371e+00
4.050838947296142578e+00,4.119343280792236328e+00,4.088049260482137903e+00,9.029042257352211109e+00,3.872564474274836854e+00,4.303534046689438952e+00
4.099163055419921875e+00,3.932878732681274414e+00,4.010798874309123185e+00,9.136269157867319635e+00,3.794038339817556338e+00,4.227559408800690477e+00
4.273678302764892578e+00,4.013645172119140625e+00,4.083830097292009853e+00,1.107819446556757903e+01,3.845142274703927221e+00,4.322517919880092485e+00
4.162439823150634766e+00,4.209312438964843750e+00,4.230336193339841344e+00,1.363282159705093832e+01,3.965554078757962841e+00,4.495118307921719847e+00
4.003967761993408203e+00,3.993520259857177734e+00,4.106123946350593634e+00,1.000119472209319760e+01,3.879335089477956799e+00,4.332912803223230469e+00
3.990549325942993164e+00,3.643334388732910156e+00,3.713304555392746398e+00,8.513334667495529473e+00,3.504064115887620456e+00,3.922544994897872339e+00
3.853653192520141602e+00,3.690714597702026367e+00,3.724224249963883793e+00,1.067858663607050929e+01,3.489880886907151147e+00,3.958567613020616438e+00
1.046603775024414062e+01,1.035839080810546875e+01,1.032054205001087155e+01,7.362380244414874824e+02,8.374712061642473060e+00,1.226637203837927004e+01
4.586000442504882812e+00,4.672235012054443359e+00,4.734191063668318655e+00,9.140012693591098980e+01,4.048593651116521919e+00,5.419788476220115392e+00
3.947785377502441406e+00,3.886472225189208984e+00,3.786761171685673943e+00,1.416945559468511817e+01,3.516817996018869241e+00,4.056704347352479090e+00
4.161348342895507812e+00,4.150448322296142578e+00,4.337638933893614990e+00,3.025126838536082019e+01,3.943211090725648571e+00,4.732066777061581853e+00
1.264884281158447266e+01,1.262707328796386719e+01,1.259722819383109105e+01,1.277384228509130480e+03,1.003418134037465137e+01,1.516027504728753073e+01
3.861299991607666016e+00,3.992686986923217773e+00,3.806627383986477042e+00,1.272398587644454437e+01,3.550823367265704800e+00,4.062431400707248841e+00
3.907582044601440430e+00,4.171592712402343750e+00,4.215617019088890416e+00,1.745880392612880172e+01,3.915974793420060163e+00,4.515259244757721113e+00
4.532751560211181641e+00,4.519402980804443359e+00,4.557537850632427556e+00,1.097896540135891463e+01,4.319921414055452047e+00,4.795154287209403066e+00
3.636982202529907227e+00,3.807745933532714844e+00,3.710299126634005074e+00,3.629550004149038500e+01,3.278260912250984926e+00,4.142337341017024777e+00
3.768761873245239258e+00,3.057855129241943359e+00,3.669842655296715606e+00,4.072660778553064631e+01,3.212191155931374720e+00,4.127494154662056935e+00
3.941148042678833008e+00,3.866725921630859375e+00,3.948520213288723824e+00,1.887364889822804059e+01,3.636973118111610948e+00,4.260067308465836255e+00
4.235950946807861328e+00,4.072905540466308594e+00,4.152451684722151093e+00,9.782136981623127170e+00,3.928160275054711992e+00,4.376743094389589750e+00
3.155158281326293945e+00,2.875366687774658203e+00,3.032721978910684957e+00,9.570761310790514642e+01,2.331155204390816582e+00,3.734288753430553331e+00
4.087269783020019531e+00,4.068325519561767578e+00,4.008433751558225566e+00,1.671195267048516797e+01,3.715270608663370666e+00,4.301596894453080466e+00
4.312510013580322266e+00,4.315072536468505859e+00,4.292339724687101565e+00,1.680261736177992660e+01,3.998382431809100357e+00,4.586297017565103218e+00
3.835491657257080078e+00,3.902260780334472656e+00,3.811955564328325163e+00,4.424727791102761643e+01,3.334932860742549021e+00,4.288978267914101750e+00
4.595643520355224609e+00,4.755136966705322266e+00,4.724998065747209708e+00,1.622792492029723732e+01,4.436111553717979383e+00,5.013884577776440032e+00
4.412825107574462891e+00,4.337857723236083984e+00,4.424672286618863914e+00,2.857997489198396011e+02,3.212325985094465430e+00,5.637018588143262399e+00
3.755508899688720703e+00,3.798552036285400391e+00,3.847752462535938722e+00,1.312137547351108680e+01,3.587984581341100654e+00,4.107520343730776347e+00
1.046998977661132812e+01,1.052777481079101562e+01,1.043903761582278911e+01,1.859442853547079721e+03,7.346697970909904285e+00,1.353137726073567393e+01
3.745059013366699219e+00,3.719011783599853516e+00,3.792067946745531604e+00,1.768592399843625174e+01,3.490483008888617178e+00,4.093652884602446029e+00
4.384593009948730469e+00,4.164674282073974609e+00,4.307384983694354297e+00,1.767815020823462291e+01,4.005866333460196493e+00,4.608903633928512100e+00
4.335573196411132812e+00,4.254492759704589844e+00,4.153890422795503135e+00,1.807866094073115093e+01,3.848975345035922757e+00,4.458805500555083512e+00
4.022887229919433594e+00,3.482409477233886719e+00,3.953042708817695594e+00,1.052331513518785755e+01,3.720409313930409301e+00,4.185676103704981443e+00
4.156628608703613281e+00,4.238993167877197266e+00,4.252278880721271470e+00,1.707473514841163365e+01,3.955950833944148926e+00,4.548606927498394015e+00
6.789415359497070312e+00,6.773874282836914062e+00,7.034266612528189633e+00,1.437699769036750240e+03,4.315137235579916464e+00,9.753395989476462802e+00
3.755501270294189453e+00,3.544534921646118164e+00,3.623146120353179178e+00,4.298721804282759962e+01,3.152964724907839411e+00,4.093327515798518945e+00
4.881726741790771484e+00,4.947533130645751953e+00,4.873066326156177297e+00,3.502164865410286865e+01,4.448677379703807055e+00,5.297455272608547538e+00
3.343385219573974609e+00,3.248969793319702148e+00,3.115441281120038930e+00,1.165145332541482475e+02,2.341361328083130466e+00,3.889521234156947394e+00
4.042727947235107422e+00,4.066488742828369141e+00,4.048853333467826054e+00,1.354498428116816200e+01,3.784925603068874267e+00,4.312781063866777842e+00
6.221156597137451172e+00,5.970303058624267578e+00,6.141051026312007721e+00,1.019841338976858367e+02,5.416845096604884446e+00,6.865256956019130996e+00
4.390372753143310547e+00,4.204961776733398438e+00,4.162209171619390524e+00,2.510676386813964811e+01,3.802881106007933720e+00,4.521537237230846884e+00
4.229770660400390625e+00,4.170802116394042969e+00,4.238457990206166315e+00,1.125453148371217971e+01,3.997878012305180029e+00,4.479037968107152601e+00
3.993759870529174805e+00,4.054162025451660156e+00,4.037380809499929057e+00,9.321504615104506897e+00,3.818433919894896889e+00,4.256327699104961226e+00
4.499260902404785156e+00,4.286581516265869141e+00,4.400183462635538945e+00,1.342338130175716948e+01,4.137443136977903002e+00,4.662923788293174887e+00
3.781438350677490234e+00,3.865281105041503906e+00,4.003118528127930453e+00,1.600365749955586381e+01,3.716235144438541305e+00,4.290001911817319602e+00
3.298717021942138672e+00,3.213049411773681641e+00,3.328129839375378207e+00,3.133354277739756455e+01,2.926708439256466399e+00,3.729551239494290016e+00
4.826760292053222656e+00,4.920292377471923828e+00,4.918480882972199986e+00,2.429692095186013745e+01,4.564995556247416708e+00,5.271966209696983263e+00
5.066412925720214844e+00,4.966770172119140625e+00,4.977704292352290949e+00,3.888183125674310503e+01,4.530537930736113772e+00,5.424870653968468126e+00
3.841778993606567383e+00,3.768277883529663086e+00,3.811399319017782172e+00,1.091382147060852681e+01,3.574488882420896463e+00,4.048309755614668326e+00
4.395375251770019531e+00,4.281664848327636719e+00,4.321336043725872322e+00,2.146318064662212421e+01,3.989103010777391045e+00,4.653569076674353155e+00
3.904749631881713867e+00,3.745977401733398438e+00,3.848268005771748435e+00,1.455756699613289840e+01,3.574652837690844631e+00,4.121883173852652682e+00
4.306119918823242188e+00,4.273591041564941406e+00,4.350633273665747147e+00,1.228887150251376070e+01,4.099241089073680122e+00,4.602025458257814172e+00
4.350611209869384766e+00,4.112317085266113281e+00,4.198831824020861525e+00,1.997978650430745162e+01,3.878285211231896845e+00,4.519378436809826205e+00
5.791394233703613281e+00,5.646897315979003906e+00,6.034176120575214242e+00,2.039876934345467134e+02,5.009945503203756090e+00,7.058406737946672393e+00
4.431848049163818359e+00,4.355851173400878906e+00,4.336410205368354198e+00,5.228500986963740615e+01,3.817867692901077525e+00,4.854952717835630871e+00
3.740272283554077148e+00,3.672201871871948242e+00,3.684281665253701821e+00,1.446912794253894674e+01,3.411498886625710991e+00,3.957064443881692650e+00
4.031430244445800781e+00,3.950075387954711914e+00,3.852213078990723183e+00,7.592086770826284692e+00,3.654617896501421992e+00,4.049808261480024818e+00
4.085419654846191406e+00,4.221084117889404297e+00,4.125523065913772491e+00,1.149720614344330372e+01,3.882363180763030996e+00,4.368682951064513986e+00
4.524155616760253906e+00,4.367827415466308594e+00,4.332955396794411662e+00,1.825593976685338760e+01,4.026548971927168985e+00,4.639361821661654339e+00
4.242028713226318359e+00,4.018218040466308594e+00,3.992531475842653776e+00,7.549027310974290472e+00,3.795497432895488021e+00,4.189565518789819087e+00
4.014540195465087891e+00,3.814741373062133789e+00,3.777481126519065757e+00,1.405155030952812183e+02,2.927404858824198541e+00,4.627557394213932973e+00
4.082437038421630859e+00,4.035850048065185547e+00,3.751542154844186960e+00,1.055050550572330970e+01,3.518608412230165960e+00,3.984475897458207960e+00
3.900644779205322266e+00,3.942859888076782227e+00,3.857914012857853070e+00,1.126339841251120610e+01,3.617239282654678423e+00,4.098588743061027273e+00
4.480182170867919922e+00,4.386006832122802734e+00,4.424678103652953887e+00,1.550993066202086901e+01,4.142254689643511512e+00,4.707101517662396262e+00
3.262089967727661133e+00,3.260242462158203125e+00,3.463696694154749789e+00,1.587533251139699786e+01,3.177965809600894254e+00,3.749427578708605324e+00
4.176565647125244141e+00,4.072570323944091797e+00,4.112130792727513473e+00,3.070796358989088404e+01,3.714736817194761898e+00,4.509524768260265049e+00
4.198097705841064453e+00,4.169529438018798828e+00,4.088152754963526370e+00,1.154881395382672871e+01,3.844447741787453854e+00,4.331857768139598441e+00
