truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,2.082976099967956518e+00,2.099238186973962250e+00,5.400344433079524720e+00,1.955203596773835928e+00,2.243272777174088350e+00
2.121539888279284192e+00,2.121214583754539529e+00,2.127686657549347604e+00,5.759679467704573952e+00,1.978937255388754313e+00,2.276436059709940896e+00
2.121539888279284192e+00,2.064637705445289573e+00,2.109667055537923996e+00,6.200142047262212408e+00,1.955334733295425176e+00,2.263999377780423039e+00
2.121539888279284192e+00,2.256961865544319323e+00,2.247427087588439676e+00,6.843355556403849072e+00,2.085286917656738126e+00,2.409567257520141226e+00
2.121539888279284192e+00,1.945363773584365852e+00,1.968192940308479244e+00,7.025310320416938481e+00,1.803911376744840922e+00,2.132474503872117566e+00
2.121539888279284192e+00,2.061931745707988650e+00,2.075555613280389622e+00,6.474665535459842580e+00,1.917843612719168700e+00,2.233267613841610544e+00
2.121539888279284192e+00,2.106304225206375058e+00,2.165563643370405966e+00,5.792725700220504592e+00,2.016388125774632112e+00,2.314739160966179821e+00
2.121539888279284192e+00,2.064747869789600454e+00,2.077531009882076951e+00,6.413956979811342940e+00,1.920560129991432108e+00,2.234501889772722016e+00
2.121539888279284192e+00,2.084593540310859527e+00,2.114941363541816610e+00,5.690121894691894333e+00,1.967092886137927321e+00,2.262789840945706121e+00
2.121539888279284192e+00,2.056263456583022897e+00,2.074229898764169633e+00,6.202637608861978791e+00,1.919866520211469529e+00,2.228593277316869514e+00
2.121539888279284192e+00,2.119454647898673993e+00,2.098326266947202257e+00,5.909887215024758333e+00,1.947649716929493513e+00,2.249002816964911222e+00
2.121539888279284192e+00,2.228531567096710297e+00,2.209693087791485322e+00,5.961845484990306865e+00,2.058355631703645550e+00,2.361030543879325094e+00
2.121539888279284192e+00,2.102511669874191469e+00,2.119105720894643330e+00,5.665273062409032612e+00,1.971580424770383644e+00,2.266631017018903016e+00
2.121539888279284192e+00,1.955885042667388829e+00,1.991014359482971452e+00,7.568433573989757690e+00,1.820500740033265785e+00,2.161527978932677119e+00
2.121539888279284192e+00,1.955663749575614840e+00,2.032101839054608394e+00,5.661942650385659803e+00,1.884619911735626152e+00,2.179583766373590414e+00
2.121539888279284192e+00,2.055373906016349839e+00,2.103236083741532703e+00,5.356359012660766084e+00,1.959789268569366527e+00,2.246682898913698878e+00
2.121539888279284192e+00,2.098873631358146863e+00,2.008326583963294887e+00,5.625307315967273070e+00,1.861322568422834722e+00,2.155330599503755273e+00
2.121539888279284192e+00,2.031867143630981420e+00,2.030144751590909902e+00,7.599244659009751324e+00,1.859284404283373826e+00,2.201005098898446199e+00
