truth,plugin_estimate_riesz,plugin_estimate_propensity,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,1.934961475372314554e+00,1.959048974275588995e+00,1.977538969525398205e+00,6.904958787519861474e+00,1.814670649468561159e+00,2.140407289582235251e+00,1.957207917162595789e+00,6.574378178424537644e+00,1.798286140145612721e+00,2.116129694179579079e+00
2.121539888279284192e+00,1.969252832949161425e+00,2.011555998742580620e+00,1.978624045100062734e+00,6.875830849918608934e+00,1.816099610650816487e+00,2.141148479549308981e+00,1.965178925815561861e+00,6.297241408747126457e+00,1.809642812337556528e+00,2.120715039293567195e+00
2.121539888279284192e+00,2.168246785044670055e+00,2.201030783534049906e+00,2.210183285884559368e+00,8.168223891705354234e+00,2.033041961224345329e+00,2.387324610544773407e+00,2.169856532657751913e+00,7.870199751873858673e+00,1.995976805930342435e+00,2.343736259385161613e+00
2.121539888279284192e+00,2.163751466989517258e+00,2.207599617004394332e+00,2.283754389784181882e+00,1.077240770647677870e+01,2.080325578046018364e+00,2.487183201522345399e+00,2.168885922233283026e+00,7.261876809552348710e+00,2.001861295451552891e+00,2.335910549015013160e+00
2.121539888279284192e+00,1.978125790834426967e+00,1.978793413758277886e+00,1.989728633663384372e+00,6.093784602558432795e+00,1.836725748301086369e+00,2.142731519025682374e+00,1.960301722616233588e+00,6.648277934850149506e+00,1.800489255910659114e+00,2.120114189321808063e+00
2.121539888279284192e+00,2.008791056275367914e+00,2.054740307927131582e+00,2.002087040248327732e+00,7.499170792983791856e+00,1.832355444726673221e+00,2.171818635769982464e+00,1.994449937783268956e+00,7.025922473568710025e+00,1.830161217006517127e+00,2.158738658560020784e+00
2.121539888279284192e+00,2.126179845452308648e+00,2.143404962897300869e+00,2.138872281149029941e+00,5.440416059244907565e+00,1.994304295989122400e+00,2.283440266308937261e+00,2.119459365090529790e+00,6.245145260526794750e+00,1.964567951407137691e+00,2.274350778773921888e+00
2.121539888279284192e+00,2.126845124244689966e+00,2.125841646909713667e+00,2.123898101631900737e+00,6.049372715193529260e+00,1.971453783198292120e+00,2.276342420065509131e+00,2.095443008018308184e+00,7.024821829899726922e+00,1.931167156044432343e+00,2.259718859992184026e+00
2.121539888279284192e+00,2.049122526168823288e+00,2.047298941433429498e+00,2.051745425049913418e+00,5.968664520732706258e+00,1.900321445367543660e+00,2.203169404732283176e+00,2.037904600936802701e+00,7.080879585403500265e+00,1.872974594524124514e+00,2.202834607349481111e+00
2.121539888279284192e+00,2.210048730731010380e+00,2.209286125779152066e+00,2.213946081202477156e+00,6.662384933785757468e+00,2.053964151092757096e+00,2.373928011312197217e+00,2.194947248345706647e+00,7.952867206215238127e+00,2.020156703237006912e+00,2.369737793454406383e+00
2.121539888279284192e+00,2.201984425783157562e+00,2.228186852216720748e+00,2.191517449725070232e+00,9.037004320216787789e+00,2.005193656836065319e+00,2.377841242614075146e+00,2.221439228697971835e+00,7.054318470527836560e+00,2.056818847710744969e+00,2.386059609685198701e+00
2.121539888279284192e+00,2.038832735776901384e+00,2.096507940649986246e+00,2.082081319911288197e+00,6.566822744768157527e+00,1.923250887511507301e+00,2.240911752311069094e+00,2.042173089177802048e+00,6.564706085877074493e+00,1.883368256444332145e+00,2.200977921911272173e+00
2.121539888279284192e+00,2.128902747273444973e+00,2.136722160220146272e+00,2.117442393496981268e+00,5.723762793569585838e+00,1.969157508401510714e+00,2.265727278592451821e+00,2.131088497070436460e+00,6.947202286228128187e+00,1.967722734737033186e+00,2.294454259403839735e+00
