truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,0.000000000000000000e+00,1.969749569892883301e+00,5.745581289899191368e+00,1.821182328943619089e+00,2.118316810842147291e+00,1.959286689758300781e+00,6.433661389503483541e+00,1.802074878516535028e+00,2.116498501000066312e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.158176183700561523e+00,4.754170353255146253e+00,2.023033219292254437e+00,2.293319148108868610e+00,2.118870019912719727e+00,6.585449211354214683e+00,1.959814489702863982e+00,2.277925550122575693e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.378720998764038086e+00,8.866457490615164971e+00,2.194163736387432451e+00,2.563278261140643721e+00,2.309337377548217773e+00,6.723349794664187584e+00,2.148625148482779412e+00,2.470049606613656135e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.112081527709960938e+00,6.738405651912685812e+00,1.951189454715708704e+00,2.272973600704212949e+00,2.079554319381713867e+00,7.626355705002131558e+00,1.908389462952783999e+00,2.250719175810643957e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.031777858734130859e+00,1.159665825929311467e+01,1.820709807222538057e+00,2.242845910245723662e+00,2.074589967727661133e+00,8.525801711435422092e+00,1.893612842502813143e+00,2.255567092952509345e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.156427621841430664e+00,6.890976269105987484e+00,1.993724289252950532e+00,2.319130954429910574e+00,2.108733415603637695e+00,7.757053612671561460e+00,1.936108107034937298e+00,2.281358724172338093e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.214602470397949219e+00,9.077800780030385042e+00,2.027858583010531124e+00,2.401346357785367314e+00,2.170680046081542969e+00,7.579904840897012441e+00,2.000037254154107824e+00,2.341322838008978113e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.300529956817626953e+00,8.020701867587288092e+00,2.124995549095028746e+00,2.476064364540225160e+00,2.252828121185302734e+00,7.181375253200656950e+00,2.086731850388226395e+00,2.418924391982379074e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.085890054702758789e+00,5.907120620068497807e+00,1.935248776913252700e+00,2.236531332492265101e+00,2.068317651748657227e+00,7.577329906631615764e+00,1.897703846418267837e+00,2.238931457079046616e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.103969335556030273e+00,5.476055108912992964e+00,1.958928605737126905e+00,2.249010065374933642e+00,2.067118883132934570e+00,7.257955284660035034e+00,1.900139360371758901e+00,2.234098405894110240e+00
2.121539888279284192e+00,0.000000000000000000e+00,1.966151714324951172e+00,5.630052076902054559e+00,1.819085715335970299e+00,2.113217713313932045e+00,1.861271977424621582e+00,6.916713474817159479e+00,1.698265086512434685e+00,2.024278868336808479e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.042857885360717773e+00,1.030788014395226959e+01,1.843863532775004810e+00,2.241852237946430737e+00,1.974887728691101074e+00,7.651216177269849261e+00,1.803444116775696493e+00,2.146331340606505655e+00
2.121539888279284192e+00,0.000000000000000000e+00,1.949002981185913086e+00,5.075562419825175198e+00,1.809366737352156251e+00,2.088639225019670143e+00,1.935907840728759766e+00,6.921522193749762408e+00,1.772844295877345822e+00,2.098971385580173710e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.121511936187744141e+00,5.616619896544345458e+00,1.974621477019816052e+00,2.268402395355672230e+00,2.026094198226928711e+00,7.533173148047239920e+00,1.855978243756049473e+00,2.196210152697807949e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.316882371902465820e+00,8.537548256599370333e+00,2.135780617679730042e+00,2.497984126125201598e+00,2.229898214340209961e+00,8.084839057626838965e+00,2.053663377478200047e+00,2.406133051202219875e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.102076053619384766e+00,6.249269966741596072e+00,1.947133498121437434e+00,2.257018609117332097e+00,2.100612640380859375e+00,8.650667239211431436e+00,1.918315072470163862e+00,2.282910208291554888e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.076895236968994141e+00,5.664621202963420643e+00,1.929378428390092548e+00,2.224412045547895733e+00,2.094936847686767578e+00,7.455509505355284894e+00,1.925700074744912893e+00,2.264173620628622263e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.125785589218139648e+00,6.243776034224127081e+00,1.970911156166472278e+00,2.280660022269807019e+00,2.123883247375488281e+00,6.089233919907997894e+00,1.970937502005705166e+00,2.276828992745271396e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.157697439193725586e+00,6.991340053241589025e+00,1.993813541422977842e+00,2.321581336964473330e+00,2.079863548278808594e+00,6.973835014092781392e+00,1.916184946775316922e+00,2.243542149782300044e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.211522817611694336e+00,1.009523517701281037e+01,2.014591724444534826e+00,2.408453910778853846e+00,2.119238138198852539e+00,7.788777401671821643e+00,1.946260199529603607e+00,2.292216076868101471e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.046127796173095703e+00,1.057731671069698898e+01,1.844549474233921016e+00,2.247706118112270168e+00,2.076318264007568359e+00,8.567563753291153716e+00,1.894898438975563426e+00,2.257738089039573293e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.240652799606323242e+00,5.782874082841881425e+00,2.091604186474079086e+00,2.389701412738567399e+00,2.264118909835815430e+00,7.772430740576646180e+00,2.091322584837280729e+00,2.436915234834350130e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.171164751052856445e+00,6.125276223444130252e+00,2.017767028970737453e+00,2.324562473134975438e+00,2.184848070144653320e+00,7.079337740109300725e+00,2.019936021274948423e+00,2.349760119014358217e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.108976364135742188e+00,7.701091175872813110e+00,1.936974876173477744e+00,2.280977852098006409e+00,2.099967002868652344e+00,7.419753730492412380e+00,1.931136537812550458e+00,2.268797467924754230e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.248712539672851562e+00,6.903075575378983864e+00,2.085866430937100890e+00,2.411558648408602235e+00,2.236620664596557617e+00,7.198781280672569949e+00,2.070323225747272566e+00,2.402918103445842668e+00
2.121539888279284192e+00,0.000000000000000000e+00,1.874533414840698242e+00,8.006147116885953707e+00,1.699158346018960986e+00,2.049908483662435721e+00,1.806709408760070801e+00,7.654269988182197615e+00,1.635231586326379105e+00,1.978187231193762496e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.200173616409301758e+00,5.846837938675444768e+00,2.050302963427419911e+00,2.350044269391183605e+00,2.174534797668457031e+00,7.656983029197983015e+00,2.003026587937940306e+00,2.346043007398973756e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.075241327285766602e+00,5.280950862414209190e+00,1.932807831109303986e+00,2.217674823462229217e+00,2.006120681762695312e+00,6.682125860027073649e+00,1.845901910378440869e+00,2.166339453146949978e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.181143760681152344e+00,5.214704238286385518e+00,2.039606458877702089e+00,2.322681062484602599e+00,2.152535915374755859e+00,6.432692069895543874e+00,1.995335947640310303e+00,2.309735883109201637e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.165951251983642578e+00,6.266995117507921265e+00,2.010789115998672383e+00,2.321113387968612773e+00,2.191271781921386719e+00,6.659880804899639628e+00,2.031319920100080001e+00,2.351223643742693437e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.186964988708496094e+00,8.260508449362125916e+00,2.008825803633820684e+00,2.365104173783171504e+00,2.127733945846557617e+00,7.408947539146772954e+00,1.959026468637080409e+00,2.296441423056034825e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.225476503372192383e+00,5.627535987836284725e+00,2.078443370198503004e+00,2.372509636545881762e+00,2.242989063262939453e+00,6.838655828829936389e+00,2.080904578403860228e+00,2.405073548122018678e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.009207487106323242e+00,8.412476512961495345e+00,1.829437162046282150e+00,2.188977812166364334e+00,1.961776852607727051e+00,6.822539393732688140e+00,1.799883469991378382e+00,2.123670235224075942e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.135692834854125977e+00,1.104822973349918591e+01,1.929676138093376903e+00,2.341709531614875051e+00,2.009261369705200195e+00,7.835204973420226260e+00,1.835768651051387090e+00,2.182754088359013078e+00
2.121539888279284192e+00,0.000000000000000000e+00,2.183953046798706055e+00,5.162938735830583603e+00,2.043120005762283142e+00,2.324786087835128967e+00,2.193598031997680664e+00,6.756990504718332957e+00,2.032484237669181404e+00,2.354711826326179924e+00
