truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,3.915688037872313565e+00,3.907253006465220668e+00,1.059503652347860703e+00,3.833437602721839088e+00,3.981068410208604025e+00,3.125000000000000000e-02
4.050838947296144354e+00,4.204663753509521484e+00,4.200330776688827150e+00,5.701223322117029646e+00,4.029100800229252322e+00,4.371560753148401979e+00,3.125000000000000000e-02
4.099163055419921875e+00,3.925636768341064009e+00,3.926092117433593653e+00,1.055800708296013690e+00,3.852405818272512938e+00,3.999778416594673480e+00,3.125000000000000000e-02
4.273678302764892578e+00,4.029956340789794034e+00,4.059281964823338029e+00,3.192233333920472038e+00,3.931154248797852802e+00,4.187409680848824145e+00,3.125000000000000000e-02
4.162439823150634766e+00,4.142008304595947266e+00,4.171663456760576594e+00,9.771676983485928503e+00,3.947491996099816713e+00,4.395834917421336030e+00,3.125000000000000000e-02
4.003967761993408203e+00,4.007622718811035156e+00,4.000133804566841533e+00,1.098765617045121212e+00,3.924963155383921709e+00,4.075304453749763134e+00,3.125000000000000000e-02
3.990549325942992720e+00,3.725289106369018555e+00,3.721704585378748931e+00,2.905964047091100344e+00,3.599456831352215946e+00,3.843952339405281471e+00,3.125000000000000000e-02
3.853653192520141602e+00,3.670574188232420987e+00,3.674939724274823849e+00,3.037899676428748919e+00,3.549947647433727926e+00,3.799931801115920216e+00,3.125000000000000000e-02
1.046603775024414062e+01,1.029094409942626775e+01,1.028631399276738456e+01,7.288167371157918524e+02,8.350315837162359145e+00,1.222231214837240820e+01,3.125000000000000000e-02
4.586000442504882812e+00,4.699127674102783203e+00,4.704956851316699940e+00,7.906905143243605494e+01,4.067282374069209894e+00,5.342631328564189985e+00,3.125000000000000000e-02
3.947785377502441406e+00,3.874680280685424805e+00,3.876074720367671311e+00,4.203628227893915437e+00,3.729044055768868215e+00,4.023105384966473963e+00,3.125000000000000000e-02
4.161348342895507812e+00,4.031528949737548828e+00,4.060245745232199610e+00,1.667787287882985936e+01,3.767381670846119857e+00,4.353109819618277143e+00,3.125000000000000000e-02
1.264884281158447266e+01,1.256269454956054688e+01,1.255539904372544413e+01,1.226594456297451188e+03,1.004382336286575850e+01,1.506697472458512799e+01,3.125000000000000000e-02
3.861299991607665572e+00,3.827877521514892578e+00,3.829084591430631068e+00,6.897461890687289765e-01,3.769526547566479202e+00,3.888642635294783378e+00,3.125000000000000000e-02
3.907582044601439986e+00,4.161218643188476562e+00,4.156549491778869232e+00,5.207556694205291770e+00,3.992900711085881404e+00,4.320198272471856171e+00,3.125000000000000000e-02
4.532751560211181641e+00,4.610989570617675781e+00,4.571005653356899678e+00,2.691119851079269321e+00,4.453363682844193150e+00,4.688647623869606207e+00,3.125000000000000000e-02
3.636982202529907227e+00,3.823520421981811968e+00,3.818146553085588035e+00,2.115668892142414848e+01,3.488294174111218560e+00,4.147998932059956623e+00,3.125000000000000000e-02
3.768761873245239258e+00,2.879535675048828125e+00,2.860039963119522355e+00,7.754390691728925422e-02,2.840070351908845048e+00,2.880009574330198774e+00,3.125000000000000000e-02
3.941148042678833008e+00,3.727316379547119141e+00,3.721854804928728999e+00,1.056291362325197269e+01,3.488784129541020906e+00,3.954925480316436648e+00,3.125000000000000000e-02
4.235950946807860440e+00,4.106923580169677734e+00,4.107191072988695346e+00,1.117287134716937524e+00,4.031389508464103599e+00,4.182992637513284429e+00,3.125000000000000000e-02
3.155158281326293057e+00,3.086239814758300781e+00,3.143322492829742743e+00,7.998206176785325283e+01,2.501976968970924808e+00,3.784668016688560677e+00,3.125000000000000000e-02
4.087269783020020419e+00,4.034939765930175781e+00,4.036102093512187849e+00,2.071688215711921632e+00,3.932883492551367155e+00,4.139320694473008544e+00,3.125000000000000000e-02
4.312510013580320489e+00,4.279821872711181641e+00,4.291703257331026755e+00,8.501915902775872169e+00,4.082603189909737473e+00,4.500803324752315149e+00,3.125000000000000000e-02
3.835491657257080078e+00,3.984570741653441495e+00,3.995619453661384046e+00,3.791343819338023735e+01,3.554056778681572215e+00,4.437182128641196321e+00,3.125000000000000000e-02
4.595643520355224609e+00,4.779554367065429688e+00,4.753952996093294026e+00,8.841261366267517019e+00,4.540720748253182393e+00,4.967185243933405658e+00,3.125000000000000000e-02
