truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,4.545357227325439453e+00,4.221694347342751286e+00,2.524155165844863902e+01,3.861403031232227168e+00,4.581985663453275848e+00,1.000000000000000000e+00
4.050838947296142578e+00,3.553835153579711914e+00,4.044807092446464303e+00,1.373078614710453849e+01,3.779075327501891124e+00,4.310538857391037482e+00,1.000000000000000000e+00
4.099163055419921875e+00,3.816144227981567383e+00,4.042550718135180077e+00,1.204974467425748053e+01,3.793616445802225012e+00,4.291484990468134697e+00,1.000000000000000000e+00
4.273678302764892578e+00,3.927699327468872070e+00,4.491930082439052008e+00,1.984431132487704730e+01,4.172472069230729552e+00,4.811388095647374463e+00,1.000000000000000000e+00
4.162439823150634766e+00,4.315389633178710938e+00,4.598195060323817529e+00,2.075927507931440630e+01,4.271455393157444824e+00,4.924934727490190234e+00,1.000000000000000000e+00
4.003967761993408203e+00,3.864758253097534180e+00,4.168647862433674689e+00,9.941492393946319339e+00,3.942536929060527662e+00,4.394758795806821716e+00,1.000000000000000000e+00
3.990549325942993164e+00,3.850532293319702148e+00,3.724820210335617610e+00,9.997556401233923751e+00,3.498072608818389551e+00,3.951567811852845669e+00,1.000000000000000000e+00
3.853653192520141602e+00,3.835969448089599609e+00,3.802476520788673042e+00,1.425009692761546631e+01,3.531766283437743681e+00,4.073186758139602404e+00,1.000000000000000000e+00
1.046603775024414062e+01,1.117951107025146484e+01,9.886494151383644180e+00,7.933734243003157189e+02,7.866572172297362719e+00,1.190641613046992475e+01,1.000000000000000000e+00
4.586000442504882812e+00,6.204025745391845703e+00,5.320484690613846546e+00,9.868193442336659871e+01,4.608099967530546515e+00,6.032869413697146577e+00,1.000000000000000000e+00
3.947785377502441406e+00,3.998167514801025391e+00,4.135977221793436520e+00,1.578346021691078249e+01,3.851074314897402040e+00,4.420880128689471000e+00,1.000000000000000000e+00
4.161348342895507812e+00,5.367143154144287109e+00,4.973902780678587376e+00,7.033379079822429958e+01,4.372482895890470012e+00,5.575322665466704741e+00,1.000000000000000000e+00
1.264884281158447266e+01,1.321456146240234375e+01,1.262406281062053992e+01,1.283030571292438026e+03,1.005535756410496973e+01,1.519276805713611012e+01,1.000000000000000000e+00
3.861299991607666016e+00,3.807030200958251953e+00,3.821019765103068622e+00,1.314623524143920186e+01,3.561005922140533908e+00,4.081033608065603779e+00,1.000000000000000000e+00
3.907582044601440430e+00,4.616297721862792969e+00,4.766643365104514807e+00,2.701658174124561995e+01,4.393899100175180372e+00,5.139387630033849241e+00,1.000000000000000000e+00
4.532751560211181641e+00,4.064940929412841797e+00,4.769962562535701167e+00,1.754283235838137500e+01,4.469600120191409509e+00,5.070325004879992825e+00,1.000000000000000000e+00
3.636982202529907227e+00,4.912436962127685547e+00,4.656674320688486191e+00,5.206576967612900120e+01,4.139220120026352312e+00,5.174128521350620069e+00,1.000000000000000000e+00
3.768761873245239258e+00,3.845522165298461914e+00,3.705533098326896368e+00,2.400304967681066515e+01,3.354191977499880739e+00,4.056874219153912442e+00,1.000000000000000000e+00
3.941148042678833008e+00,4.164780139923095703e+00,4.249781258417891117e+00,2.276786536409611017e+01,3.907599441698980325e+00,4.591963075136802352e+00,1.000000000000000000e+00
4.235950946807861328e+00,4.638238906860351562e+00,4.613060029284924646e+00,2.735815465315288009e+01,4.237966846903160167e+00,4.988153211666689124e+00,1.000000000000000000e+00
3.155158281326293945e+00,3.916125059127807617e+00,3.460472863186069947e+00,1.120257743267223134e+02,2.701450192556595464e+00,4.219495533815544874e+00,1.000000000000000000e+00
4.087269783020019531e+00,4.399376869201660156e+00,4.411763170804985812e+00,7.187197861190764314e+00,4.219509088228995175e+00,4.604017253380976449e+00,1.000000000000000000e+00
4.312510013580322266e+00,4.259716033935546875e+00,4.697202196221285320e+00,2.177346903266934675e+01,4.362576271414572382e+00,5.031828121027998257e+00,1.000000000000000000e+00
