truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
2.121539888279284192e+00,2.566053985118866176e+00,2.333275307015144850e+00,1.073307617694814020e+01,2.130218208046987804e+00,2.536332405983301896e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.364831559062003929e+00,2.230374571519263771e+00,9.562192285233665601e+00,2.038713104648758989e+00,2.422036038389768553e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.408794040560722216e+00,2.267281439944606625e+00,1.075625107269615910e+01,2.064005238384095442e+00,2.470557641505117807e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.721450948357582167e+00,2.407313590143538296e+00,1.183939848080681045e+01,2.194047950145278314e+00,2.620579230141798277e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.478000648617744606e+00,2.495816571545554474e+00,8.347742231729796458e+00,2.316739251492418994e+00,2.674893891598689954e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.417305671930312982e+00,2.411769424322003808e+00,1.111992558975527601e+01,2.205085351046862652e+00,2.618453497597144963e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.674547779083252141e+00,2.373148452689405996e+00,1.252041712292932729e+01,2.153834899940276326e+00,2.592462005438535666e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.908592789649963262e+00,2.520833127833670417e+00,1.559009979725456674e+01,2.276106898383018606e+00,2.765559357284322228e+00,1.000000000000000000e+03
2.121539888279284192e+00,3.067556919932365567e+00,2.607933524046587959e+00,1.217622727021452711e+01,2.391655474579573948e+00,2.824211573513601969e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.412425243020057675e+00,2.394992255567223616e+00,1.038191410976100748e+01,2.195284566070654808e+00,2.594699945063792423e+00,1.000000000000000000e+03
2.121539888279284192e+00,3.077891170978546143e+00,2.654230423341621847e+00,1.203560379110623479e+01,2.439204900382337726e+00,2.869255946300905968e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.267266080498695491e+00,2.218774737272975361e+00,1.108152173986099598e+01,2.012447875435138034e+00,2.425101599110812689e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.688183181405067401e+00,2.308606889785208338e+00,1.216700439688634106e+01,2.092410765650018156e+00,2.524803013920398520e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.388263966798782167e+00,2.307893485188716731e+00,1.217573296411831407e+01,2.091619825777874642e+00,2.524167144599558821e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.337554008841514541e+00,2.224847561676404517e+00,1.044393327700651852e+01,2.024544256469155812e+00,2.425150866883653222e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.203147513151168635e+00,2.267343440794851617e+00,9.926458948907868063e+00,2.072065473020388016e+00,2.462621408569315218e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.738663487315177836e+00,2.431415641755349633e+00,1.284810070453669262e+01,2.209250694775525492e+00,2.653580588735173773e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.448080738902091991e+00,2.277212428968167224e+00,1.095205688847203973e+01,2.072094361156591624e+00,2.482330496779742823e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.359023126840591456e+00,2.322124598825873854e+00,1.069658415156649589e+01,2.119412986734563464e+00,2.524836210917184243e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.525485902190208520e+00,2.329872896748595767e+00,1.163106138037356452e+01,2.118491995532703065e+00,2.541253797964488470e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.310037958502769495e+00,2.370517551017750524e+00,9.933285537979561042e+00,2.175172446848994134e+00,2.565862655186506913e+00,1.000000000000000000e+03
2.121539888279284192e+00,2.249728150486946188e+00,2.415843254973530030e+00,8.842582681854688431e+00,2.231534639790698549e+00,2.600151870156361511e+00,1.000000000000000000e+03
