truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,3.866244316101073775e+00,3.932010972354819334e+00,9.808322012266366130e+00,3.707419569321751318e+00,4.156602375387887349e+00,2.500000000000000000e-01
4.050838947296143466e+00,4.393937587738037109e+00,4.311087455991727602e+00,1.097634300371261062e+01,4.073499399229015161e+00,4.548675512754438266e+00,2.500000000000000000e-01
4.099163055419921875e+00,3.773657083511352983e+00,3.879042601871844909e+00,1.199956925267945174e+01,3.630627154298300852e+00,4.127458049445388077e+00,2.500000000000000000e-01
4.273678302764892578e+00,4.160317897796630859e+00,4.214514417728719486e+00,1.327293132202467874e+01,3.953250644902187805e+00,4.475778190555248948e+00,2.500000000000000000e-01
4.162439823150634766e+00,4.397053718566895419e+00,4.420156621767603156e+00,1.570567055270773160e+01,4.135956662005305873e+00,4.704356581529900438e+00,2.500000000000000000e-01
4.003967761993408203e+00,4.074839591979980469e+00,4.046352513764400527e+00,9.912032941423616350e+00,3.820576844255632043e+00,4.272128183273168567e+00,2.500000000000000000e-01
3.990549325942992720e+00,3.599168062210083008e+00,3.646848551943091099e+00,9.187104440556515428e+00,3.429485813341649703e+00,3.864211290544532940e+00,2.500000000000000000e-01
3.853653192520141602e+00,3.766199588775634322e+00,3.765137422589866389e+00,1.246766335706956852e+01,3.511923078433833112e+00,4.018351766745900555e+00,2.500000000000000000e-01
1.046603775024414062e+01,1.027387523651123047e+01,1.024136781404435403e+01,7.359364092098882111e+02,8.295936441384158755e+00,1.218679918670454754e+01,2.500000000000000000e-01
4.586000442504882812e+00,4.582548141479492188e+00,4.572392867395353555e+00,8.958743309441622671e+01,3.893628059854107093e+00,5.251157674936600017e+00,2.500000000000000000e-01
3.947785377502441406e+00,3.765977859497070312e+00,3.688629725887819788e+00,1.514176782795580323e+01,3.409578418336410621e+00,3.967681033439229399e+00,2.500000000000000000e-01
4.161348342895507812e+00,4.015353679656982422e+00,4.034752893893870151e+00,3.187949226936023450e+01,3.629849452081630456e+00,4.439656335706110291e+00,2.500000000000000000e-01
1.264884281158447266e+01,1.253511714935302734e+01,1.244937687825225581e+01,1.238623707341740328e+03,9.925515693489545654e+00,1.497323806301497129e+01,2.500000000000000000e-01
3.861299991607665572e+00,4.048206806182860440e+00,3.896462974376764699e+00,1.170178410756673593e+01,3.651149269721675861e+00,4.141776679031853980e+00,2.500000000000000000e-01
3.907582044601439986e+00,4.387866020202636719e+00,4.219392585296182219e+00,1.640955878860196648e+01,3.928893865710855859e+00,4.509891304881508134e+00,2.500000000000000000e-01
4.532751560211181641e+00,4.594009399414063388e+00,4.515464477344208305e+00,1.110783348976323914e+01,4.276457570781719397e+00,4.754471383906697213e+00,2.500000000000000000e-01
3.636982202529907227e+00,3.693073034286499023e+00,3.578083297168636712e+00,3.271465354665014758e+01,3.167910425615702241e+00,3.988256168721572070e+00,2.500000000000000000e-01
3.768761873245239258e+00,2.880707025527954102e+00,2.886784119313837049e+00,1.901240821681451920e-01,2.855515094602977477e+00,2.918053144024696621e+00,2.500000000000000000e-01
3.941148042678833008e+00,3.962070226669311968e+00,4.006423156447752376e+00,1.945507777521282833e+01,3.690113641554732649e+00,4.322732671340772548e+00,2.500000000000000000e-01
4.235950946807860440e+00,4.074918270111083984e+00,4.035256019724426046e+00,9.439580506516914937e+00,3.814926789152330411e+00,4.255585250296523014e+00,2.500000000000000000e-01
3.155158281326293501e+00,3.110154867172240767e+00,2.969764022704603157e+00,9.879947941904416098e+01,2.256955147325273359e+00,3.682572898083932955e+00,2.500000000000000000e-01
4.087269783020020419e+00,3.285521030426025391e+00,3.584851937225905338e+00,1.995593504793318473e+01,3.264496712534936673e+00,3.905207161916873559e+00,2.500000000000000000e-01
4.312510013580321377e+00,4.388953208923339844e+00,4.393476374566332332e+00,1.777697236077894871e+01,4.091116143165072216e+00,4.695836605967591559e+00,2.500000000000000000e-01
3.835491657257080078e+00,3.949177503585815874e+00,3.816537940235424031e+00,4.378103935021236026e+01,3.342035113315795058e+00,4.291040767155053892e+00,2.500000000000000000e-01
4.595643520355224609e+00,4.972711086273192471e+00,4.836176881340047196e+00,1.715749105216838544e+01,4.539131597862215095e+00,5.133222164817879296e+00,2.500000000000000000e-01
4.412825107574462891e+00,4.410393714904785156e+00,4.282104559193205873e+00,2.910991332736628578e+02,3.058570039562319209e+00,5.505639078824092536e+00,2.500000000000000000e-01
3.755508899688720703e+00,3.944715023040771040e+00,3.948930420545633702e+00,1.174346715340223568e+01,3.703180187047465655e+00,4.194680654043801304e+00,2.500000000000000000e-01
1.046998977661132812e+01,1.048407459259033203e+01,1.040432441028267085e+01,1.855980358041180807e+03,7.314865252194860723e+00,1.349378356837048010e+01,2.500000000000000000e-01
3.745059013366699219e+00,3.909297704696655273e+00,3.906366956949527847e+00,1.927734627370340448e+01,3.591505576844772119e+00,4.221228337054283131e+00,2.500000000000000000e-01
4.384593009948729581e+00,4.214064598083496094e+00,4.329778658883481235e+00,1.743582293868553279e+01,4.030333707374399665e+00,4.629223610392562804e+00,2.500000000000000000e-01
4.335573196411132812e+00,4.248075962066649502e+00,4.246266225720519039e+00,1.487582081511101606e+01,3.969676375148354364e+00,4.522856076292683269e+00,2.500000000000000000e-01
4.022887229919433594e+00,4.187444210052489346e+00,4.165955426205512957e+00,9.012819031463992658e+00,3.950664316691660627e+00,4.381246535719365731e+00,2.500000000000000000e-01
4.156628608703612393e+00,4.376487255096436435e+00,4.307324542243680554e+00,2.285917497605850102e+01,3.964457258862162270e+00,4.650191825625198838e+00,2.500000000000000000e-01
6.789415359497070312e+00,6.958970546722412109e+00,6.982911823866447598e+00,1.424008367955156018e+03,4.276760729891391222e+00,9.689062917841502198e+00,2.500000000000000000e-01
3.755501270294189009e+00,3.526770591735839844e+00,3.565224055783203561e+00,4.198727921453520651e+01,3.100543353514443101e+00,4.029904758051964464e+00,2.500000000000000000e-01
4.881726741790771484e+00,5.153192043304443359e+00,4.940270498585874748e+00,4.028353755184223672e+01,4.485115233053503125e+00,5.395425764118246370e+00,2.500000000000000000e-01
3.343385219573974609e+00,3.294358730316162109e+00,3.188998125834122899e+00,1.264727409579770239e+02,2.382516948262074497e+00,3.995479303406171301e+00,2.500000000000000000e-01
4.042727947235107422e+00,4.001499176025391513e+00,4.016282021707307415e+00,1.409067359752159554e+01,3.747090332412621461e+00,4.285473711001992925e+00,2.500000000000000000e-01
6.221156597137451172e+00,5.981738090515136719e+00,6.075311373875456056e+00,9.787478489553232919e+01,5.365846038248647254e+00,6.784776709502264858e+00,2.500000000000000000e-01
4.390372753143311435e+00,4.218159675598144531e+00,4.054560916577160334e+00,2.310788298445060107e+01,3.709833479722619121e+00,4.399288353431701992e+00,2.500000000000000000e-01
4.229770660400391513e+00,4.245060443878173828e+00,4.258558943618333537e+00,9.989297422439555874e+00,4.031905019519729905e+00,4.485212867716937168e+00,2.500000000000000000e-01
3.993759870529175249e+00,4.095926761627196377e+00,4.077513295110319014e+00,9.012488349009849742e+00,3.862226135173465469e+00,4.292800455047172115e+00,2.500000000000000000e-01
4.499260902404785156e+00,4.365627288818359375e+00,4.396999430092387584e+00,1.286994041870370431e+01,4.139732455918361254e+00,4.654266404266413026e+00,2.500000000000000000e-01
3.781438350677489790e+00,3.499703168869018555e+00,3.389849798743340692e+00,2.416879637231066269e+01,3.037297718331426033e+00,3.742401879155255351e+00,2.500000000000000000e-01
3.298717021942138228e+00,3.439632892608642578e+00,3.436862638650044932e+00,3.347569242057834771e+01,3.021946282822522534e+00,3.851778994477567331e+00,2.500000000000000000e-01
4.826760292053223544e+00,5.008221149444580078e+00,4.911809564580852161e+00,2.400750816271188626e+01,4.560435815052048980e+00,5.263183314109655342e+00,2.500000000000000000e-01
5.066412925720214844e+00,5.065875530242919922e+00,5.032337171282092569e+00,4.015519790975898218e+01,4.577907525537121103e+00,5.486766817027065812e+00,2.500000000000000000e-01
3.841778993606567383e+00,3.822754621505736861e+00,3.855916069265408197e+00,1.161773043177012354e+01,3.611484994104600776e+00,4.100347144426214285e+00,2.500000000000000000e-01
4.395375251770020419e+00,4.612561702728272373e+00,4.616906250468300499e+00,2.564839801330203528e+01,4.253722931878166413e+00,4.980089569058436361e+00,2.500000000000000000e-01
3.904749631881713423e+00,3.992196559906005415e+00,3.972494576213920769e+00,1.442525293769784334e+01,3.700125693728177456e+00,4.244863458699664527e+00,2.500000000000000000e-01
4.306119918823241299e+00,4.660065174102783203e+00,4.583319273133281690e+00,1.195568294152404398e+01,4.335358509546258787e+00,4.831280036720304594e+00,2.500000000000000000e-01
4.350611209869384766e+00,4.415484428405761719e+00,4.293264265823644621e+00,2.360029530956078503e+01,3.944883243625068925e+00,4.641645288022219873e+00,2.500000000000000000e-01
5.791394233703612393e+00,5.017907619476318359e+00,5.666697573526251475e+00,4.410134271617693891e+00,5.516098716225107168e+00,5.817296430827395781e+00,2.500000000000000000e-01
4.431848049163817471e+00,4.364713191986083984e+00,4.371222518711650018e+00,5.232087999531932354e+01,3.852502163722492767e+00,4.889942873700809045e+00,2.500000000000000000e-01
