truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,4.020976066589355469e+00,4.089873435001146085e+00,8.222946634293764490e+00,3.884232530070097056e+00,4.295514339932195114e+00,1.000000000000000056e-01
4.050838947296142578e+00,4.146466732025146484e+00,4.146132194472736288e+00,7.592522109813538478e+00,3.948531346897133254e+00,4.343733042048339321e+00,1.000000000000000056e-01
4.099163055419921875e+00,4.006887435913085938e+00,3.996459896430320846e+00,7.055879211215953184e+00,3.805970266001400315e+00,4.186949526859240933e+00,1.000000000000000056e-01
4.273678302764892578e+00,4.061987400054931641e+00,4.097310038311363201e+00,8.949963530125659261e+00,3.882770963576417156e+00,4.311849113046309689e+00,1.000000000000000056e-01
4.162439823150634766e+00,4.263282299041748047e+00,4.274065483679754252e+00,1.337578470287945542e+01,4.011791383738281702e+00,4.536339583621226801e+00,1.000000000000000056e-01
4.003967761993408203e+00,4.115123748779296875e+00,4.164982607819502469e+00,6.452015913280955139e+00,3.982826605962126898e+00,4.347138609676878040e+00,1.000000000000000056e-01
3.990549325942993164e+00,3.690747261047363281e+00,3.740265051820561126e+00,7.125454976529344897e+00,3.548838546660072257e+00,3.931691556981049995e+00,1.000000000000000056e-01
3.853653192520141602e+00,3.741061210632324219e+00,3.784392208363542842e+00,8.924483963274708387e+00,3.570158735922974280e+00,3.998625680804111404e+00,1.000000000000000056e-01
1.046603775024414062e+01,1.025404262542724609e+01,1.024443575152045049e+01,7.288559119449255377e+02,8.308385565429599495e+00,1.218048593761130149e+01,1.000000000000000056e-01
4.586000442504882812e+00,4.718527317047119141e+00,4.734615182954485135e+00,8.298664500539605626e+01,4.081334413561820362e+00,5.387895952347149908e+00,1.000000000000000056e-01
3.947785377502441406e+00,3.935150146484375000e+00,3.995163442231069340e+00,1.037417781456654353e+01,3.764184379761946531e+00,4.226142504700192148e+00,1.000000000000000056e-01
4.161348342895507812e+00,4.052543163299560547e+00,4.113505968063111418e+00,2.299094411087549616e+01,3.769651894814184168e+00,4.457360041312038668e+00,1.000000000000000056e-01
1.264884281158447266e+01,1.250199890136718750e+01,1.252365111498141204e+01,1.227171931484834431e+03,1.001148428438905746e+01,1.503581794557376661e+01,1.000000000000000056e-01
3.861299991607666016e+00,3.842074394226074219e+00,3.837600314250519062e+00,7.312121936835791480e-01,3.776278148739684593e+00,3.898922479761353532e+00,1.000000000000000056e-01
3.907582044601440430e+00,4.224772930145263672e+00,4.206146805762086771e+00,1.114772348427913862e+01,3.966711127917475377e+00,4.445582483606698609e+00,1.000000000000000056e-01
